chr,source,type,start,stop,score,strand,phase,ID,comment,name
1,havana,gene,3143476,3144545,.,+,.,gene:ENSMUSG00000102693,RIKEN cDNA 4933401J01 gene [Source:MGI Symbol%3BAcc:MGI:1918292],4933401J01Rik
1,ensembl_havana,gene,3276124,3741721,.,-,.,gene:ENSMUSG00000051951,X-linked Kx blood group related 4 [Source:MGI Symbol%3BAcc:MGI:3528744],Xkr4
1,havana,gene,3435954,3438772,.,-,.,gene:ENSMUSG00000103377,predicted gene%2C 37180 [Source:MGI Symbol%3BAcc:MGI:5610408],Gm37180
1,havana,gene,3445779,3448011,.,-,.,gene:ENSMUSG00000104017,predicted gene%2C 37363 [Source:MGI Symbol%3BAcc:MGI:5610591],Gm37363
1,havana,gene,3535200,3537508,.,-,.,gene:ENSMUSG00000103025,predicted gene%2C 37686 [Source:MGI Symbol%3BAcc:MGI:5610914],Gm37686
1,havana,gene,3582674,3584730,.,-,.,gene:ENSMUSG00000103201,predicted gene%2C 37329 [Source:MGI Symbol%3BAcc:MGI:5610557],Gm37329
1,havana,gene,3663115,3666126,.,-,.,gene:ENSMUSG00000103161,predicted gene%2C 38148 [Source:MGI Symbol%3BAcc:MGI:5611376],Gm38148
1,havana,gene,3750378,3752011,.,+,.,gene:ENSMUSG00000102348,predicted gene 10568 [Source:MGI Symbol%3BAcc:MGI:3642703],Gm10568
1,havana,gene,3822233,3824583,.,+,.,gene:ENSMUSG00000102592,predicted gene%2C 38385 [Source:MGI Symbol%3BAcc:MGI:5611613],Gm38385
1,ensembl_havana,gene,4069780,4479464,.,-,.,gene:ENSMUSG00000025900,retinitis pigmentosa 1 (human) [Source:MGI Symbol%3BAcc:MGI:1341105],Rp1
1,havana,gene,4433569,4435052,.,-,.,gene:ENSMUSG00000104123,predicted gene%2C 37483 [Source:MGI Symbol%3BAcc:MGI:5610711],Gm37483
1,ensembl_havana,gene,4561154,4567577,.,-,.,gene:ENSMUSG00000025902,SRY (sex determining region Y)-box 17 [Source:MGI Symbol%3BAcc:MGI:107543],Sox17
1,ensembl_havana,gene,4843429,4855962,.,-,.,gene:ENSMUSG00000033845,mitochondrial ribosomal protein L15 [Source:MGI Symbol%3BAcc:MGI:1351639],Mrpl15
1,havana,gene,4848286,4849435,.,-,.,gene:ENSMUSG00000102275,predicted gene%2C 37144 [Source:MGI Symbol%3BAcc:MGI:5610372],Gm37144
1,ensembl_havana,gene,4878011,4918633,.,+,.,gene:ENSMUSG00000025903,lysophospholipase 1 [Source:MGI Symbol%3BAcc:MGI:1344588],Lypla1
1,havana,gene,4878115,4956993,.,+,.,gene:ENSMUSG00000104217,predicted gene%2C 37988 [Source:MGI Symbol%3BAcc:MGI:5611216],Gm37988
1,ensembl_havana,gene,4928037,4968132,.,+,.,gene:ENSMUSG00000033813,transcription elongation factor A (SII) 1 [Source:MGI Symbol%3BAcc:MGI:1196624],Tcea1
1,havana,gene,4975974,4977084,.,-,.,gene:ENSMUSG00000103280,predicted gene%2C 37277 [Source:MGI Symbol%3BAcc:MGI:5610505],Gm37277
1,ensembl_havana,gene,4979799,5140508,.,-,.,gene:ENSMUSG00000002459,regulator of G-protein signaling 20 [Source:MGI Symbol%3BAcc:MGI:1929866],Rgs20
1,havana,gene,5008799,5010933,.,-,.,gene:ENSMUSG00000102653,predicted gene%2C 37079 [Source:MGI Symbol%3BAcc:MGI:5610307],Gm37079
