ID,name,chr,start,stop,comment
AT1G10920.1,LOV1,1,3644420,3647768,NB-ARC domain-containing disease resistance protein
AT1G12210.1,,1,4140948,4143605,RPS5-like 1
AT1G12220.1,RPS5,1,4144935,4147817,Disease resistance protein (CC-NBS-LRR class) family
AT1G12280.1,SUMM2,1,4174875,4177559,LRR and NB-ARC domains-containing disease resistance protein
AT1G12290.1,,1,4178359,4181247,Disease resistance protein (CC-NBS-LRR class) family
AT1G15890.1,,1,5461317,5464223,Disease resistance protein (CC-NBS-LRR class) family
AT1G17600.1,soc3,1,6052936,6056664,Disease resistance protein (TIR-NBS-LRR class) family
AT1G17610.1,Chs1,1,6056895,6058357,Disease resistance protein (TIR-NBS class)
AT1G17615.1,,1,6059441,6060667,Disease resistance protein (TIR-NBS class)
AT1G27170.1,,1,9434559,9439417,transmembrane receptors;ATP binding
AT1G27180.1,,1,9439859,9446106,"disease resistance protein (TIR-NBS-LRR class), putative"
AT1G31540.2,RAC1,1,11288452,11293753,Disease resistance protein (TIR-NBS-LRR class) family
AT1G33560.1,ADR1,1,12168768,12172005,Disease resistance protein (CC-NBS-LRR class) family
AT1G47370.1,,1,17365898,17368703,Toll-Interleukin-Resistance (TIR) domain family protein
AT1G50180.1,,1,18584235,18587136,NB-ARC domain-containing disease resistance protein
AT1G51270.3,,1,19007510,19011272,structural molecules;transmembrane receptors;structural molecules
AT1G51480.1,,1,19090847,19094306,Disease resistance protein (CC-NBS-LRR class) family
AT1G52660.1,,1,19613475,19614796,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G52900.1,,1,19702211,19702916,Toll-Interleukin-Resistance (TIR) domain family protein
AT1G53350.1,,1,19903899,19907515,Disease resistance protein (CC-NBS-LRR class) family
AT1G56510.1,WRR4,1,21167589,21173632,Disease resistance protein (TIR-NBS-LRR class)
AT1G56520.2,,1,21174664,21178974,Disease resistance protein (TIR-NBS-LRR class) family
AT1G56540.1,,1,21181664,21185306,Disease resistance protein (TIR-NBS-LRR class) family
AT1G57650.1,,1,21351291,21354311,ATP binding
AT1G57670.1,,1,21357169,21359872,Toll-Interleukin-Resistance (TIR) domain family protein
AT1G57830.1,,1,21420309,21420803,Toll-Interleukin-Resistance (TIR) domain family protein
AT1G57850.1,,1,21426690,21427349,Toll-Interleukin-Resistance (TIR) domain family protein
AT1G58390.1,,1,21690962,21694447,Disease resistance protein (CC-NBS-LRR class) family
AT1G58400.1,,1,21696165,21699118,Disease resistance protein (CC-NBS-LRR class) family
AT1G58410.1,,1,21701185,21704255,Disease resistance protein (CC-NBS-LRR class) family
AT1G58602.1,RPP7,1,21746373,21764969,LRR and NB-ARC domains-containing disease resistance protein
AT1G58807.1,,1,21780185,21784296,Disease resistance protein (CC-NBS-LRR class) family
AT1G58848.1,,1,21791783,21797050,Disease resistance protein (CC-NBS-LRR class) family
AT1G59124.1,,1,21816443,21820572,Disease resistance protein (CC-NBS-LRR class) family
AT1G59218.1,,1,21828033,21832708,Disease resistance protein (CC-NBS-LRR class) family
AT1G59620.1,CW9,1,21902284,21905685,Disease resistance protein (CC-NBS-LRR class) family
AT1G59780.1,,1,21993581,21997691,NB-ARC domain-containing disease resistance protein
AT1G60320.1,,1,22235091,22235606,Toll-Interleukin-Resistance (TIR) domain family protein
AT1G61105.1,,1,22513585,22514492,Toll-Interleukin-Resistance (TIR) domain family protein
AT1G61180.2,,1,22551345,22554649,LRR and NB-ARC domains-containing disease resistance protein
AT1G61190.1,RPP39,1,22557602,22560687,LRR and NB-ARC domains-containing disease resistance protein
AT1G61300.1,,1,22607466,22610273,LRR and NB-ARC domains-containing disease resistance protein
AT1G61310.1,,1,22613063,22615943,LRR and NB-ARC domains-containing disease resistance protein
AT1G62630.1,,1,23185912,23188593,Disease resistance protein (CC-NBS-LRR class) family
AT1G63350.1,HRG4,1,23494935,23497631,Disease resistance protein (CC-NBS-LRR class) family
AT1G63360.1,HRG5,1,23499515,23502169,Disease resistance protein (CC-NBS-LRR class) family
AT1G63730.1,,1,23641770,23645132,Disease resistance protein (TIR-NBS-LRR class) family
AT1G63740.1,,1,23645429,23648973,Disease resistance protein (TIR-NBS-LRR class) family
AT1G63750.3,HRG6,1,23650848,23655359,Disease resistance protein (TIR-NBS-LRR class) family
AT1G63860.1,,1,23701484,23706005,Disease resistance protein (TIR-NBS-LRR class) family
AT1G63870.1,,1,23707131,23711901,Disease resistance protein (TIR-NBS-LRR class) family
AT1G63880.1,,1,23712276,23716124,Disease resistance protein (TIR-NBS-LRR class) family
AT1G64070.1,RLM1,1,23779949,23783449,Disease resistance protein (TIR-NBS-LRR class) family
AT1G65390.1,,1,24292478,24294631,phloem protein 2 A5
AT1G65850.2,HRG1,1,24494678,24498542,Disease resistance protein (TIR-NBS-LRR class) family
AT1G66090.1,,1,24602146,24604763,Disease resistance protein (TIR-NBS class)
AT1G69550.1,,1,26148021,26153555,disease resistance protein (TIR-NBS-LRR class)
AT1G72840.2,,1,27409237,27413851,Disease resistance protein (TIR-NBS-LRR class)
AT1G72850.1,,1,27413971,27415335,Disease resistance protein (TIR-NBS class)
AT1G72860.1,,1,27416228,27420778,Disease resistance protein (TIR-NBS-LRR class) family
AT1G72870.1,,1,27421023,27423184,Disease resistance protein (TIR-NBS class)
AT1G72890.2,,1,27429916,27431960,Disease resistance protein (TIR-NBS class)
AT1G72900.1,,1,27432195,27433782,Toll-Interleukin-Resistance (TIR) domain-containing protein
AT1G72910.1,,1,27435614,27437144,Toll-Interleukin-Resistance (TIR) domain-containing protein
AT1G72920.1,,1,27437928,27439091,Toll-Interleukin-Resistance (TIR) domain family protein
AT1G72930.1,,1,27439452,27440464,toll/interleukin-1 receptor-like
AT1G72940.1,,1,27442238,27443856,Toll-Interleukin-Resistance (TIR) domain-containing protein
AT1G72950.1,,1,27444585,27445980,Disease resistance protein (TIR-NBS class)
