chr,source,type,start,stop,score,strand,phase,ID,comment,name
1,ensembl,gene,5273,10061,.,-,.,gene:ENSGALG00000054818,inosine-5'-monophosphate dehydrogenase 1-like [Source:NCBI gene%3BAcc:112532827],
1,ensembl,gene,9441,14305,.,+,.,gene:ENSGALG00000053455,,
1,ensembl,gene,27209,33555,.,+,.,gene:ENSGALG00000045540,C-type lectin domain family 2 member D-like 5 [Source:NCBI gene%3BAcc:776458],
1,ensembl,gene,31439,243537,.,+,.,gene:ENSGALG00000051297,,
1,ensembl,gene,39057,42408,.,-,.,gene:ENSGALG00000042023,,
1,ensembl,gene,68200,71633,.,-,.,gene:ENSGALG00000029624,dehydrogenase/reductase 4 [Source:NCBI gene%3BAcc:426247],DHRS4
1,ensembl,gene,75379,90530,.,+,.,gene:ENSGALG00000038527,capping protein regulator and myosin 1 linker 3 [Source:NCBI gene%3BAcc:101749117],CARMIL3
1,ensembl,gene,166296,170671,.,+,.,gene:ENSGALG00000046962,,
1,ensembl,gene,194198,197450,.,-,.,gene:ENSGALG00000042611,C-type lectin domain family 2 member B-like [Source:NCBI gene%3BAcc:107049847],
1,ensembl,gene,202285,203838,.,-,.,gene:ENSGALG00000048560,,
1,ensembl,gene,216908,303711,.,+,.,gene:ENSGALG00000050315,C-type lectin domain family 2 member D-like 3 [Source:NCBI gene%3BAcc:425783],CLC2DL3
1,ensembl,gene,230048,232288,.,-,.,gene:ENSGALG00000048857,,
1,ensembl,gene,258484,259506,.,-,.,gene:ENSGALG00000053510,C-type lectin domain family 2 member D-like [Source:NCBI gene%3BAcc:107055489],
1,ensembl,gene,285437,287167,.,-,.,gene:ENSGALG00000050833,,
1,ensembl,gene,291774,313399,.,+,.,gene:ENSGALG00000051677,,
1,ensembl,gene,306746,316814,.,-,.,gene:ENSGALG00000031626,guanylyl cyclase-activating protein 1-like [Source:NCBI gene%3BAcc:430443],
1,ensembl,gene,323123,357594,.,+,.,gene:ENSGALG00000041494,golgin B1 [Source:NCBI gene%3BAcc:426868],GOLGB1
1,ensembl,gene,359020,371025,.,+,.,gene:ENSGALG00000039682,hematopoietic cell-specific Lyn substrate 1 [Source:NCBI gene%3BAcc:426867],HCLS1
1,ensembl,gene,383297,387604,.,-,.,gene:ENSGALG00000038044,NME/NM23 nucleoside diphosphate kinase 6 [Source:NCBI gene%3BAcc:426866],NME6
1,ensembl,gene,387716,392295,.,+,.,gene:ENSGALG00000032458,RAB%2C member of RAS oncogene family-like 2A [Source:NCBI gene%3BAcc:426865],RABL2A
