chr,source,type,start,stop,score,strand,phase,ID,comment,name
Chr1,TAIR10,gene,3631.0,5899.0,.,+,.,AT1G01010,protein_coding_gene,AT1G01010
Chr1,TAIR10,gene,5928.0,8737.0,.,-,.,AT1G01020,protein_coding_gene,AT1G01020
Chr1,TAIR10,gene,11649.0,13714.0,.,-,.,AT1G01030,protein_coding_gene,AT1G01030
Chr1,TAIR10,gene,23146.0,31227.0,.,+,.,AT1G01040,protein_coding_gene,AT1G01040
Chr1,TAIR10,gene,28500.0,28706.0,.,+,.,AT1G01046,miRNA,AT1G01046
Chr1,TAIR10,gene,31170.0,33153.0,.,-,.,AT1G01050,protein_coding_gene,AT1G01050
Chr1,TAIR10,gene,33379.0,37871.0,.,-,.,AT1G01060,protein_coding_gene,AT1G01060
Chr1,TAIR10,gene,38752.0,40944.0,.,-,.,AT1G01070,protein_coding_gene,AT1G01070
Chr1,TAIR10,gene,44677.0,44787.0,.,+,.,AT1G01073,protein_coding_gene,AT1G01073
Chr1,TAIR10,gene,45296.0,47019.0,.,-,.,AT1G01080,protein_coding_gene,AT1G01080
Chr1,TAIR10,gene,47485.0,49286.0,.,-,.,AT1G01090,protein_coding_gene,AT1G01090
Chr1,TAIR10,gene,50075.0,51199.0,.,-,.,AT1G01100,protein_coding_gene,AT1G01100
Chr1,TAIR10,gene,52239.0,54692.0,.,+,.,AT1G01110,protein_coding_gene,AT1G01110
Chr1,TAIR10,gene,56624.0,56740.0,.,+,.,AT1G01115,protein_coding_gene,AT1G01115
Chr1,TAIR10,gene,57269.0,59167.0,.,-,.,AT1G01120,protein_coding_gene,AT1G01120
Chr1,TAIR10,gene,61905.0,63811.0,.,-,.,AT1G01130,protein_coding_gene,AT1G01130
Chr1,TAIR10,gene,64166.0,67625.0,.,-,.,AT1G01140,protein_coding_gene,AT1G01140
Chr1,TAIR10,gene,70115.0,72138.0,.,-,.,AT1G01150,protein_coding_gene,AT1G01150
Chr1,TAIR10,gene,72339.0,74096.0,.,+,.,AT1G01160,protein_coding_gene,AT1G01160
Chr1,TAIR10,gene,73931.0,74737.0,.,-,.,AT1G01170,protein_coding_gene,AT1G01170
Chr1,TAIR10,gene,75583.0,76758.0,.,+,.,AT1G01180,protein_coding_gene,AT1G01180
Chr1,TAIR10,gene,78932.0,79032.0,.,-,.,AT1G01183,miRNA,AT1G01183
Chr1,TAIR10,gene,83045.0,84864.0,.,-,.,AT1G01190,protein_coding_gene,AT1G01190
Chr1,TAIR10,gene,86515.0,88213.0,.,-,.,AT1G01200,protein_coding_gene,AT1G01200
Chr1,TAIR10,gene,88898.0,89745.0,.,+,.,AT1G01210,protein_coding_gene,AT1G01210
Chr1,TAIR10,gene,91376.0,95651.0,.,+,.,AT1G01220,protein_coding_gene,AT1G01220
Chr1,TAIR10,gene,95987.0,97407.0,.,+,.,AT1G01225,protein_coding_gene,AT1G01225
Chr1,TAIR10,gene,97456.0,99240.0,.,+,.,AT1G01230,protein_coding_gene,AT1G01230
Chr1,TAIR10,gene,99894.0,101834.0,.,+,.,AT1G01240,protein_coding_gene,AT1G01240
Chr1,TAIR10,gene,104491.0,105330.0,.,-,.,AT1G01250,protein_coding_gene,AT1G01250
Chr1,TAIR10,gene,108946.0,111609.0,.,+,.,AT1G01260,protein_coding_gene,AT1G01260
Chr1,TAIR10,gene,111890.0,111961.0,.,-,.,AT1G01270,tRNA,AT1G01270
Chr1,TAIR10,gene,112263.0,113947.0,.,+,.,AT1G01280,protein_coding_gene,AT1G01280
Chr1,TAIR10,gene,114286.0,116108.0,.,+,.,AT1G01290,protein_coding_gene,AT1G01290
Chr1,TAIR10,gene,116943.0,118764.0,.,+,.,AT1G01300,protein_coding_gene,AT1G01300
Chr1,TAIR10,gene,119397.0,119997.0,.,+,.,AT1G01305,protein_coding_gene,AT1G01305
Chr1,TAIR10,gene,120154.0,121130.0,.,+,.,AT1G01310,protein_coding_gene,AT1G01310
Chr1,TAIR10,gene,121067.0,130577.0,.,-,.,AT1G01320,protein_coding_gene,AT1G01320
Chr1,TAIR10,gene,132328.0,135831.0,.,-,.,AT1G01340,protein_coding_gene,AT1G01340
Chr1,TAIR10,gene,136124.0,138162.0,.,+,.,AT1G01350,protein_coding_gene,AT1G01350
Chr1,TAIR10,gene,138513.0,139568.0,.,+,.,AT1G01355,protein_coding_gene,AT1G01355
Chr1,TAIR10,gene,141971.0,143183.0,.,+,.,AT1G01360,protein_coding_gene,AT1G01360
Chr1,TAIR10,gene,143564.0,145684.0,.,+,.,AT1G01370,protein_coding_gene,AT1G01370
Chr1,TAIR10,gene,147153.0,147942.0,.,+,.,AT1G01380,protein_coding_gene,AT1G01380
Chr1,TAIR10,gene,148120.0,149806.0,.,-,.,AT1G01390,protein_coding_gene,AT1G01390
