chr,source,type,start,stop,score,strand,phase,ID,comment,name
1,RAP2018-11-26,gene,2983,10815,.,+,.,gene:Os01g0100100,RabGAP/TBC domain containing protein,
1,RAP2018-11-26,gene,11218,12435,.,+,.,gene:Os01g0100200,Conserved hypothetical protein,
1,RAP2018-11-26,gene,11372,12284,.,-,.,gene:Os01g0100300,Cytochrome P450 domain containing protein,
1,RAP2018-11-26,gene,12721,15685,.,+,.,gene:Os01g0100400,Similar to Pectinesterase-like protein,
1,RAP2018-11-26,gene,12808,13978,.,-,.,gene:Os01g0100466,Hypothetical protein,
1,RAP2018-11-26,gene,16399,20144,.,+,.,gene:Os01g0100500,Immunoglobulin-like domain containing protein,
1,RAP2018-11-26,gene,22841,26892,.,+,.,gene:Os01g0100600,Single-stranded nucleic acid binding R3H domain containing protein,
1,RAP2018-11-26,gene,25861,26424,.,-,.,gene:Os01g0100650,Hypothetical gene,
1,RAP2018-11-26,gene,27143,28644,.,+,.,gene:Os01g0100700,Similar to 40S ribosomal protein S5-1,RPS5
1,RAP2018-11-26,gene,29818,34453,.,+,.,gene:Os01g0100800,Protein of unknown function DUF1664 family protein,
1,RAP2018-11-26,gene,35623,41136,.,+,.,gene:Os01g0100900,Sphingosine-1-phosphate lyase%2C Disease resistance respons,SPL1
1,RAP2018-11-26,gene,58658,61090,.,+,.,gene:Os01g0101150,Hypothetical conserved gene,
1,RAP2018-11-26,gene,60091,61086,.,-,.,gene:Os01g0101175,Non-protein coding transcript,
1,RAP2018-11-26,gene,62060,65537,.,+,.,gene:Os01g0101200,2%2C3-diketo-5-methylthio-1-phosphopentane phosphatase domain containing protein,
1,RAP2018-11-26,gene,63350,66302,.,-,.,gene:Os01g0101300,Similar to MRNA%2C partial cds%2C clone: RAFL22-26-L17. (Fragment),
1,RAP2018-11-26,gene,72816,78349,.,+,.,gene:Os01g0101600,Immunoglobulin-like fold domain containing protein,
1,RAP2018-11-26,gene,82426,84095,.,+,.,gene:Os01g0101700,Similar to chaperone protein dnaJ 20,OsDjC1
1,RAP2018-11-26,gene,85337,88844,.,+,.,gene:Os01g0101800,Conserved hypothetical protein,
1,RAP2018-11-26,gene,86211,88583,.,-,.,gene:Os01g0101850,Hypothetical protein,
1,RAP2018-11-26,gene,88883,89228,.,-,.,gene:Os01g0101900,Similar to OSIGBa0075F02.3 protein,
1,RAP2018-11-26,gene,89763,91465,.,-,.,gene:Os01g0102000,Phosphoesterase family protein,OsNPC6
1,RAP2018-11-26,gene,134300,135439,.,+,.,gene:Os01g0102300,Thylakoid lumen protein%2C Photosynthesis and chloroplast developmen,OsTLP27
1,RAP2018-11-26,gene,139826,141555,.,+,.,gene:Os01g0102400,Histone-fold domain containing protein,OsHAP5H
1,RAP2018-11-26,gene,141959,144554,.,+,.,gene:Os01g0102500,Conserved hypothetical protein,
1,RAP2018-11-26,gene,145603,147847,.,+,.,gene:Os01g0102600,Shikimate kinase domain containing protein,OsSK4
1,RAP2018-11-26,gene,148085,150568,.,+,.,gene:Os01g0102700,Translocon-associated beta family protein,
1,RAP2018-11-26,gene,152853,156449,.,+,.,gene:Os01g0102800,Similar to chromatin remodeling complex subunit,CSB
1,RAP2018-11-26,gene,164577,168921,.,+,.,gene:Os01g0102850,Similar to nitrilase 2,
1,RAP2018-11-26,gene,169390,170316,.,-,.,gene:Os01g0102900,Light-regulated protein%2C Regulation of light-dependent attachment of LEAF-TYPE FERREDOXIN-NADP+ OXIDOREDUCTASE (LFNR) to the thylakoid membran,LIR1
1,RAP2018-11-26,gene,170798,173144,.,-,.,gene:Os01g0103000,Snf7 family protein,
1,RAP2018-11-26,gene,172587,175073,.,+,.,gene:Os01g0103050,Non-protein coding transcript,
1,RAP2018-11-26,gene,178607,180575,.,+,.,gene:Os01g0103100,TGF-beta receptor%2C type I/II extracellular region family protein,
1,RAP2018-11-26,gene,178815,180433,.,-,.,gene:Os01g0103075,Hypothetical protein,
1,RAP2018-11-26,gene,185189,185828,.,-,.,gene:Os01g0103400,Hypothetical gene,
1,RAP2018-11-26,gene,186250,190904,.,-,.,gene:Os01g0103600,Similar to sterol-8%2C7-isomerase,
1,RAP2018-11-26,gene,187545,188586,.,+,.,gene:Os01g0103650,Hypothetical gene,
1,RAP2018-11-26,gene,191037,196287,.,+,.,gene:Os01g0103700,Conserved hypothetical protein,
1,RAP2018-11-26,gene,197647,200803,.,+,.,gene:Os01g0103800,Conserved hypothetical protein,OsDW1-01g
1,RAP2018-11-26,gene,201944,206202,.,+,.,gene:Os01g0103900,Polynucleotidyl transferase%2C Ribonuclease H fold domain containing protein,
1,RAP2018-11-26,gene,206131,209606,.,-,.,gene:Os01g0104000,C-type lectin domain containing protein,
1,RAP2018-11-26,gene,209771,214173,.,+,.,gene:Os01g0104100,Similar to protein binding / zinc ion binding,OsCOIN
1,RAP2018-11-26,gene,216212,217345,.,+,.,gene:Os01g0104200,No apical meristem (NAM) protein domain containing protein,ONAC016
1,RAP2018-11-26,gene,224916,225543,.,+,.,gene:Os01g0104350,Non-protein coding transcript,
