chr,source,type,start,stop,score,strand,phase,ID,comment,name
1,ensembl,gene,34617,40204,.,+,.,gene:Zm00001eb000010,Zm00001e000001,
1,ensembl,gene,41214,46762,.,-,.,gene:Zm00001eb000020,Zm00001e000002,
1,ensembl,gene,106148,106620,.,-,.,gene:Zm00001eb000030,Zm00001e000003,
1,ensembl,gene,107080,108196,.,-,.,gene:Zm00001eb000040,Zm00001e000004,
1,ensembl,gene,108554,114382,.,-,.,gene:Zm00001eb000050,Zm00001e100003,
1,ensembl,gene,188559,189581,.,-,.,gene:Zm00001eb000060,Zm00001e000006,
1,ensembl,gene,190192,198832,.,-,.,gene:Zm00001eb000070,Zm00001e100010,
1,ensembl,gene,200262,203393,.,-,.,gene:Zm00001eb000080,Zm00001e000007,
1,ensembl,gene,205120,205505,.,+,.,gene:Zm00001eb000090,Zm00001e000008,
1,ensembl,gene,206619,209723,.,-,.,gene:Zm00001eb000100,Zm00001e000009,
1,ensembl,gene,246422,247242,.,-,.,gene:Zm00001eb000110,Zm00001e000010,
1,ensembl,gene,315219,315846,.,+,.,gene:Zm00001eb000120,Zm00001e000012,
1,ensembl,gene,318880,320662,.,-,.,gene:Zm00001eb000130,Zm00001e000013,
1,ensembl,gene,325307,326897,.,-,.,gene:Zm00001eb000140,Zm00001e100023,
1,ensembl,gene,328087,328525,.,+,.,gene:Zm00001eb000150,Zm00001e000014,
1,ensembl,gene,459859,461337,.,+,.,gene:Zm00001eb000160,Zm00001e000016,
1,ensembl,gene,550834,564766,.,-,.,gene:Zm00001eb000170,Zm00001e000017,
1,ensembl,gene,551078,552061,.,+,.,gene:Zm00001eb000180,Zm00001e000018,
1,ensembl,gene,679957,680801,.,+,.,gene:Zm00001eb000200,Zm00001e100035,
1,ensembl,gene,679957,708016,.,-,.,gene:Zm00001eb000190,Zm00001e000019,
1,ensembl,gene,1003108,1014318,.,+,.,gene:Zm00001eb000210,Zm00001e000020,
1,ensembl,gene,1018151,1020839,.,+,.,gene:Zm00001eb000220,Zm00001e000022,
1,ensembl,gene,1022421,1026593,.,+,.,gene:Zm00001eb000230,Zm00001e000023,
1,ensembl,gene,1025166,1028066,.,-,.,gene:Zm00001eb000240,Zm00001e000024,
1,ensembl,gene,1035114,1035395,.,+,.,gene:Zm00001eb000250,Zm00001e100044,
1,ensembl,gene,1056853,1057188,.,+,.,gene:Zm00001eb000260,Zm00001e000026,
1,ensembl,gene,1060487,1063436,.,-,.,gene:Zm00001eb000270,Zm00001e100047,
1,ensembl,gene,1063552,1063857,.,-,.,gene:Zm00001eb000280,Zm00001e100049,
1,ensembl,gene,1186473,1190677,.,+,.,gene:Zm00001eb000290,Zm00001e100053,
1,ensembl,gene,1198867,1200495,.,-,.,gene:Zm00001eb000300,Zm00001e100055,
1,ensembl,gene,1201797,1210068,.,-,.,gene:Zm00001eb000310,Zm00001e100057,
1,ensembl,gene,1217679,1222212,.,-,.,gene:Zm00001eb000320,Zm00001e000027,
1,ensembl,gene,1222255,1227093,.,-,.,gene:Zm00001eb000330,Zm00001e000028,
1,ensembl,gene,1483183,1523873,.,+,.,gene:Zm00001eb000340,Zm00001e000031,
1,ensembl,gene,1498840,1499795,.,+,.,gene:Zm00001eb000350,Zm00001e000032,
1,ensembl,gene,1538240,1538884,.,+,.,gene:Zm00001eb000360,Zm00001e000035,
1,ensembl,gene,1601134,1602423,.,-,.,gene:Zm00001eb000370,Zm00001e000036,
1,ensembl,gene,1706577,1707999,.,+,.,gene:Zm00001eb000380,Zm00001e000038,
1,ensembl,gene,1807198,1809676,.,+,.,gene:Zm00001eb000390,Zm00001e000039,
1,ensembl,gene,1824727,1826249,.,+,.,gene:Zm00001eb000400,Zm00001e000040,
1,ensembl,gene,1825973,1827696,.,-,.,gene:Zm00001eb000410,Zm00001e000041,
1,ensembl,gene,1832425,1834566,.,-,.,gene:Zm00001eb000420,Zm00001e000042,
1,ensembl,gene,1929337,1930143,.,-,.,gene:Zm00001eb000430,Zm00001e000043,
1,ensembl,gene,1929358,1930319,.,+,.,gene:Zm00001eb000440,Zm00001e100077,
1,ensembl,gene,1932708,1933552,.,-,.,gene:Zm00001eb000450,Zm00001e000044,
1,ensembl,gene,2009997,2012200,.,-,.,gene:Zm00001eb000460,Zm00001e000045,
1,ensembl,gene,2010318,2012354,.,+,.,gene:Zm00001eb000470,Zm00001e000046,
1,ensembl,gene,2017706,2024879,.,-,.,gene:Zm00001eb000480,Zm00001e000047,
1,ensembl,gene,2095539,2097445,.,+,.,gene:Zm00001eb000490,Zm00001e000048,
1,ensembl,gene,2099970,2104244,.,-,.,gene:Zm00001eb000500,Zm00001e000049,
1,ensembl,gene,2144815,2147163,.,-,.,gene:Zm00001eb000510,Zm00001e000050,
1,ensembl,gene,2147897,2161903,.,-,.,gene:Zm00001eb000520,Zm00001e000051,
1,ensembl,gene,2168336,2168653,.,-,.,gene:Zm00001eb000530,Zm00001e100081,
1,ensembl,gene,2224430,2232174,.,-,.,gene:Zm00001eb000540,Zm00001e000052,
1,ensembl,gene,2275575,2280181,.,-,.,gene:Zm00001eb000550,Zm00001e000053,
1,ensembl,gene,2281696,2286130,.,-,.,gene:Zm00001eb000560,Zm00001e100084,
1,ensembl,gene,2288852,2293806,.,+,.,gene:Zm00001eb000570,Zm00001e000054,
1,ensembl,gene,2376907,2378815,.,-,.,gene:Zm00001eb000580,Zm00001e000055,
1,ensembl,gene,2514265,2522242,.,+,.,gene:Zm00001eb000590,Zm00001e000062,
1,ensembl,gene,2553424,2556496,.,-,.,gene:Zm00001eb000600,Zm00001e000063,
1,ensembl,gene,2555438,2555822,.,+,.,gene:Zm00001eb000610,Zm00001e000064,
1,ensembl,gene,2620295,2626950,.,-,.,gene:Zm00001eb000620,Zm00001e000065,
1,ensembl,gene,2641853,2644732,.,-,.,gene:Zm00001eb000630,Zm00001e000067,
1,ensembl,gene,2737442,2740118,.,+,.,gene:Zm00001eb000640,Zm00001e000068,
1,ensembl,gene,2765072,2771704,.,+,.,gene:Zm00001eb000650,Zm00001e000069,
1,ensembl,gene,2772158,2773573,.,-,.,gene:Zm00001eb000660,Zm00001e000070,
1,ensembl,gene,2800774,2803236,.,+,.,gene:Zm00001eb000670,Zm00001e000071,
1,ensembl,gene,2803474,2804769,.,-,.,gene:Zm00001eb000680,Zm00001e000072,
1,ensembl,gene,2810082,2817677,.,+,.,gene:Zm00001eb000690,Zm00001e000073,
1,ensembl,gene,2817998,2820996,.,-,.,gene:Zm00001eb000700,Zm00001e000074,
1,ensembl,gene,2860721,2869355,.,+,.,gene:Zm00001eb000710,Zm00001e000075,
1,ensembl,gene,2869576,2874482,.,-,.,gene:Zm00001eb000720,Zm00001e000077,
1,ensembl,gene,2873681,2874136,.,+,.,gene:Zm00001eb000730,Zm00001e000078,
1,ensembl,gene,2874505,2883698,.,+,.,gene:Zm00001eb000740,Zm00001e000079,
1,ensembl,gene,2875398,2880118,.,-,.,gene:Zm00001eb000750,Zm00001e100089,
