chr,source,type,start,stop,score,strand,phase,ID,comment,name
1,ensembl_havana,gene,6408,12027,.,-,.,gene:ENSDARG00000099104,ribosomal protein L24 [Source:NCBI gene%3BAcc:192301],rpl24
1,ensembl_havana,gene,11822,16373,.,+,.,gene:ENSDARG00000102407,centrosomal protein 97 [Source:ZFIN%3BAcc:ZDB-GENE-031030-11],cep97
1,havana,gene,18716,23389,.,+,.,gene:ENSDARG00000102097,nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor%2C zeta [Source:ZFIN%3BAcc:ZDB-GENE-071024-1],nfkbiz
1,ensembl,gene,25585,27255,.,+,.,gene:ENSDARG00000099319,,CU651657.1
1,ensembl_havana,gene,27690,34330,.,+,.,gene:ENSDARG00000099640,embryonic ectoderm development [Source:NCBI gene%3BAcc:550463],eed
1,ensembl_havana,gene,36552,39191,.,+,.,gene:ENSDARG00000104071,heat shock protein nuclear import factor hikeshi [Source:NCBI gene%3BAcc:550239],hikeshi
1,ensembl_havana,gene,39313,44565,.,-,.,gene:ENSDARG00000102746,transmembrane protein 39A [Source:NCBI gene%3BAcc:323208],tmem39a
1,ensembl_havana,gene,44839,50247,.,-,.,gene:ENSDARG00000103929,immunoglobulin-like domain containing receptor 1a [Source:ZFIN%3BAcc:ZDB-GENE-040426-1412],ildr1a
1,ensembl_havana,gene,60979,65017,.,-,.,gene:ENSDARG00000101073,si:zfos-1011f11.2 [Source:ZFIN%3BAcc:ZDB-GENE-121214-271],si:zfos-1011f11.2
1,ensembl_havana,gene,65705,71523,.,-,.,gene:ENSDARG00000100223,glycoprotein A33 (transmembrane)%2C paralog a [Source:ZFIN%3BAcc:ZDB-GENE-080229-4],gpa33a
1,ensembl_havana,gene,109798,119146,.,+,.,gene:ENSDARG00000100782,coagulation factor VII%2C like [Source:ZFIN%3BAcc:ZDB-GENE-070424-102],f7l
1,ensembl_havana,gene,119960,125246,.,+,.,gene:ENSDARG00000034862,coagulation factor VII [Source:ZFIN%3BAcc:ZDB-GENE-010814-1],f7
1,ensembl_havana,gene,127250,134079,.,+,.,gene:ENSDARG00000075827,coagulation factor VIIi [Source:ZFIN%3BAcc:ZDB-GENE-021206-10],f7i
1,ensembl_havana,gene,135903,142469,.,+,.,gene:ENSDARG00000088581,coagulation factor X [Source:ZFIN%3BAcc:ZDB-GENE-021206-9],f10
1,ensembl_havana,gene,144284,151998,.,+,.,gene:ENSDARG00000076900,protein Z%2C vitamin K-dependent plasma glycoprotein b [Source:ZFIN%3BAcc:ZDB-GENE-120816-1],prozb
1,ensembl_havana,gene,152007,157563,.,-,.,gene:ENSDARG00000013802,PCI domain containing 2 [Source:NCBI gene%3BAcc:492509],pcid2
1,ensembl_havana,gene,157793,167398,.,+,.,gene:ENSDARG00000096578,cullin 4A [Source:ZFIN%3BAcc:ZDB-GENE-040426-1357],cul4a
1,ensembl,gene,160302,201004,.,-,.,gene:ENSDARG00000109848,,FO681286.1
1,ensembl,gene,176583,182258,.,+,.,gene:ENSDARG00000100181,lysosomal associated membrane protein 1a [Source:ZFIN%3BAcc:ZDB-GENE-030131-3708],lamp1a
1,ensembl,gene,184915,192033,.,-,.,gene:ENSDARG00000029936,growth hormone regulated TBC protein 1a [Source:NCBI gene%3BAcc:406711],grtp1a
1,ensembl,gene,200294,206208,.,-,.,gene:ENSDARG00000041589,ADP-ribosylhydrolase like 1 [Source:NCBI gene%3BAcc:450012],adprhl1
1,ensembl,gene,208181,214911,.,-,.,gene:ENSDARG00000041592,DCN1%2C defective in cullin neddylation 1%2C domain containing 2b [Source:ZFIN%3BAcc:ZDB-GENE-040625-171],dcun1d2b
