chr,source,type,start,stop,score,strand,phase,ID,comment,name
I,sgd,gene,335,649,.,+,.,gene:YAL069W,Dubious open reading frame%3B unlikely to encode a functional protein%2C based on available experimental and comparative sequence data [Source:SGD%3BAcc:S000002143],
I,sgd,gene,538,792,.,+,.,gene:YAL068W-A,Dubious open reading frame%3B unlikely to encode a functional protein%2C based on available experimental and comparative sequence data%3B identified by gene-trapping%2C microarray-based expression analysis%2C and genome-wide homology searching [Source:SGD%3BAcc:S000028594],
I,sgd,gene,1807,2169,.,-,.,gene:YAL068C,Protein of unknown function%3B member of the seripauperin multigene family encoded mainly in subtelomeric regions [Source:SGD%3BAcc:S000002142],PAU8
I,sgd,gene,2480,2707,.,+,.,gene:YAL067W-A,Putative protein of unknown function%3B identified by gene-trapping%2C microarray-based expression analysis%2C and genome-wide homology searching [Source:SGD%3BAcc:S000028593],
I,sgd,gene,7235,9016,.,-,.,gene:YAL067C,Putative permease%3B member of the allantoate transporter subfamily of the major facilitator superfamily%3B mutation confers resistance to ethionine sulfoxide [Source:SGD%3BAcc:S000000062],SEO1
I,sgd,gene,10091,10399,.,+,.,gene:YAL066W,Dubious open reading frame%3B unlikely to encode a functional protein%2C based on available experimental and comparative sequence data [Source:SGD%3BAcc:S000000061],
I,sgd,gene,11565,11951,.,-,.,gene:YAL065C,Putative protein of unknown function%3B shows sequence similarity to FLO1 and other flocculins [Source:SGD%3BAcc:S000001817],
I,sgd,gene,12046,12426,.,+,.,gene:YAL064W-B,Fungal-specific protein of unknown function [Source:SGD%3BAcc:S000002141],
I,sgd,gene,13363,13743,.,-,.,gene:YAL064C-A,Putative protein of unknown function%3B null mutant is sensitive to expression of the top1-T722A allele%3B not an essential gene [Source:SGD%3BAcc:S000002140],TDA8
I,sgd,gene,21566,21850,.,+,.,gene:YAL064W,Protein of unknown function%3B may interact with ribosomes%2C based on co-purification experiments [Source:SGD%3BAcc:S000000060],
I,sgd,gene,22395,22685,.,-,.,gene:YAL063C-A,Putative protein of unknown function%3B identified by expression profiling and mass spectrometry [Source:SGD%3BAcc:S000028813],
I,sgd,gene,24000,27968,.,-,.,gene:YAL063C,Lectin-like protein with similarity to Flo1p%3B thought to be expressed and involved in flocculation [Source:SGD%3BAcc:S000000059],FLO9
I,sgd,gene,31567,32940,.,+,.,gene:YAL062W,NADP(+)-dependent glutamate dehydrogenase%3B synthesizes glutamate from ammonia and alpha-ketoglutarate%3B rate of alpha-ketoglutarate utilization differs from Gdh1p%3B expression regulated by nitrogen and carbon sources%3B GDH3 has a paralog%2C GDH1%2C that arose from the whole genome duplication [Source:SGD%3BAcc:S000000058],GDH3
I,sgd,gene,33448,34701,.,+,.,gene:YAL061W,Putative medium-chain alcohol dehydrogenase with similarity to BDH1%3B transcription induced by constitutively active PDR1 and PDR3 [Source:SGD%3BAcc:S000000057],BDH2
I,sgd,gene,35155,36303,.,+,.,gene:YAL060W,NAD-dependent (R%2CR)-butanediol dehydrogenase%3B catalyzes oxidation of (R%2CR)-2%2C3-butanediol to (3R)-acetoin%2C oxidation of meso-butanediol to (3S)-acetoin%2C and reduction of acetoin%3B enhances use of 2%2C3-butanediol as an aerobic carbon source [Source:SGD%3BAcc:S000000056],BDH1
I,sgd,gene,36496,36918,.,-,.,gene:YAL059C-A,Dubious open reading frame%3B unlikely to encode a functional protein%2C based on available experimental and comparative sequence data%3B partially overlaps verified gene ECM1/YAL059W [Source:SGD%3BAcc:S000028734],
I,sgd,gene,36509,37147,.,+,.,gene:YAL059W,Pre-ribosomal factor involved in 60S ribosomal protein subunit export%3B associates with the pre-60S particle%3B shuttles between the nucleus and cytoplasm [Source:SGD%3BAcc:S000000055],ECM1
I,sgd,gene,37464,38972,.,+,.,gene:YAL058W,Calnexin%3B integral membrane ER chaperone involved in folding and quality control of glycoproteins%3B chaperone activity is inhibited by Mpd1p%2C with which Cne1p interacts%3B 24%25 identical to mammalian calnexin%3B Ca+ binding not yet shown in yeast [Source:SGD%3BAcc:S000000054],CNE1
I,sgd,gene,38696,39046,.,-,.,gene:YAL056C-A,Dubious open reading frame%3B unlikely to encode a functional protein%2C based on available experimental and comparative sequence data [Source:SGD%3BAcc:S000002139],
I,sgd,gene,39259,41901,.,+,.,gene:YAL056W,Multistep regulator of cAMP-PKA signaling%3B inhibits PKA downstream of Gpa2p and Cyr1p%2C thereby increasing cAMP dependency%3B inhibits Ras activity through direct interactions with Ira1p/2p%3B regulated by G-alpha protein Gpa2p%3B GPB2 has a paralog%2C GPB1%2C that arose from the whole genome duplication [Source:SGD%3BAcc:S000000052],GPB2
I,sgd,gene,42177,42719,.,+,.,gene:YAL055W,Putative peroxisomal membrane protein%3B required for import of peroxisomal proteins%3B functionally complements a Pichia pastoris pex22 mutation [Source:SGD%3BAcc:S000000051],PEX22
I,sgd,gene,42881,45022,.,-,.,gene:YAL054C,Acetyl-coA synthetase isoform%3B along with Acs2p%2C acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation%3B expressed during growth on nonfermentable carbon sources and under aerobic conditions [Source:SGD%3BAcc:S000000050],ACS1
I,sgd,gene,45899,48250,.,+,.,gene:YAL053W,Putative calcium channel involved in calcium release under hypotonic stress%3B required for uptake of FAD into endoplasmic reticulum%3B involved in cell wall maintenance%3B FLC2 has a paralog%2C YOR365C%2C that arose from the whole genome duplication [Source:SGD%3BAcc:S000000049],FLC2
I,sgd,gene,48564,51707,.,+,.,gene:YAL051W,Oleate-activated transcription factor%3B subunit of a heterodimeric complex with Pip2p%2C which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids%2C peroxisome organization and biogenesis%2C activating transcription in the presence of oleate%3B regulates chromatin silencing at telomeres%3B involved in diauxic shift%3B OAF1 has a paralog%2C PIP2%2C that arose from the whole genome duplication [Source:SGD%3BAcc:S000000048],OAF1
I,sgd,gene,51855,52595,.,-,.,gene:YAL049C,Cytoplasmic protein involved in mitochondrial function or organization%3B null mutant displays reduced frequency of mitochondrial genome loss%3B potential Hsp82p interactor [Source:SGD%3BAcc:S000000047],AIM2
I,sgd,gene,52801,54789,.,-,.,gene:YAL048C,Outer mitochondrial membrane GTPase%2C subunit of the ERMES complex%3B potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth%3B cells lacking Gem1p contain collapsed%2C globular%2C or grape-like mitochondria%3B ortholog of metazoan Miro GTPases [Source:SGD%3BAcc:S000000046],GEM1
I,sgd,gene,54584,54913,.,+,.,gene:YAL047W-A,Dubious open reading frame%3B unlikely to encode a functional protein%2C based on available experimental and comparative sequence data%3B partially overlaps ORF GEM1/YAL048C [Source:SGD%3BAcc:S000028733],
I,sgd,gene,54989,56857,.,-,.,gene:YAL047C,Gamma-tubulin small complex (gamma-TuSC) receptor%3B recruits the gamma-TuSC complex to the cytoplasmic side of the SPB%2C connecting nuclear microtubules to the SPB%3B involved in astral microtubule formation%2C stabilization%2C and with Stu2p%2C anchoring astral MTs at the cytoplasmic face of the SPB%2C and regulating plus-end MT dynamics%3B regulated by Cdc5 kinase [Source:SGD%3BAcc:S000000045],SPC72
I,sgd,gene,57029,57385,.,-,.,gene:YAL046C,Protein involved in Fe-S cluster transfer to mitochondrial clients%3B protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase%3B sequence similarity to human BOLA family member%2C BOLA3%2C mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2) [Source:SGD%3BAcc:S000000044],BOL3
I,sgd,gene,57488,57796,.,-,.,gene:YAL045C,Dubious open reading frame%3B unlikely to encode a functional protein%2C based on available experimental and comparative sequence data%3B almost completely overlaps YAL044W-A [Source:SGD%3BAcc:S000000043],
I,sgd,gene,57518,57850,.,+,.,gene:YAL044W-A,Mitochondrial matrix protein involved in Fe-S cluster biogenesis%3B facilitates [4Fe-2S] cluster inception into mitochondrial proteins such as lipoate synthase and succinate dehydrogenase%3B interacts and may function with Grx5p at an early step in Fe-S cluster biosynthesis%3B forms dimeric complexes with Grx5p and Nfu1p that alter the stability of shared Fe/S clusters%3B sequence similarity to human BOLA family member%2C BOLA1 and S. pombe uvi31%2C a putative DNA repair protein [Source:SGD%3BAcc:S000007586],BOL1
I,sgd,gene,57950,58462,.,-,.,gene:YAL044C,H subunit of the mitochondrial glycine decarboxylase complex%3B glycine decarboxylase is required for the catabolism of glycine to 5%2C10-methylene-THF%3B also required for all protein lipoylation%3B expression is regulated by levels of 5%2C10-methylene-THF [Source:SGD%3BAcc:S000000042],GCV3
I,sgd,gene,58695,61052,.,-,.,gene:YAL043C,Subunit of holo-CPF%3B holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF%2C required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends%3B involved in pre-tRNA processing%3B binds to the phosphorylated CTD of RNAPII [Source:SGD%3BAcc:S000000041],PTA1
I,sgd,gene,61231,61608,.,-,.,gene:YAL042C-A,Dubious open reading frame%3B unlikely to encode a functional protein%2C based on available experimental and comparative sequence data%3B partially overlaps verified ORF ERV46/YAL042W%3B YAL042C-A is a non-essential gene [Source:SGD%3BAcc:S000002138],
I,sgd,gene,61316,62563,.,+,.,gene:YAL042W,Protein localized to COPII-coated vesicles%3B forms a complex with Erv41p%3B involved in the membrane fusion stage of transport [Source:SGD%3BAcc:S000000040],ERV46
I,sgd,gene,62840,65404,.,+,.,gene:YAL041W,Guanine nucleotide exchange factor (GEF) for Cdc42p%3B required for polarity establishment and maintenance%2C and mutants have morphological defects in bud formation and shmooing%3B relocalizes from nucleus to cytoplasm upon DNA replication stress%3B thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42 [Source:SGD%3BAcc:S000000039],CDC24
I,sgd,gene,65778,67520,.,-,.,gene:YAL040C,G1 cyclin involved in cell cycle progression%3B activates Cdc28p kinase to promote G1 to S phase transition%3B plays a role in regulating transcription of other G1 cyclins%2C CLN1 and CLN2%3B regulated by phosphorylation and proteolysis%3B acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry%3B cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2%2C CCNB1%2C CCNC%2C CCND1%2C or CCNE1 [Source:SGD%3BAcc:S000000038],CLN3
I,sgd,gene,68716,69525,.,-,.,gene:YAL039C,Cytochrome c heme lyase (holocytochrome c synthase)%3B attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space%3B human homolog HCCS implicated in microphthalmia with linear skin defects (MLS)%2C and can complement yeast null mutant [Source:SGD%3BAcc:S000000037],CYC3
I,sgd,gene,71786,73288,.,+,.,gene:YAL038W,Pyruvate kinase%3B functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate%2C the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration%3B regulated via allosteric activation by fructose bisphosphate%3B CDC19 has a paralog%2C PYK2%2C that arose from the whole genome duplication [Source:SGD%3BAcc:S000000036],CDC19
I,sgd,gene,72326,73300,.,-,.,gene:YAL037C-B,Dubious open reading frame%3B unlikely to encode a functional protein%2C based on available experimental and comparative sequence data%3B identified by gene-trapping%2C microarray-based expression analysis%2C and genome-wide homology searching [Source:SGD%3BAcc:S000028592],
