chr,source,type,start,stop,score,strand,phase,ID,comment,name
1,ensembl_havana,gene,65419,71585,.,+,.,gene:ENSG00000186092,olfactory receptor family 4 subfamily F member 5 [Source:HGNC Symbol%3BAcc:HGNC:14825],OR4F5
1,ensembl_havana,gene,450740,451678,.,-,.,gene:ENSG00000284733,olfactory receptor family 4 subfamily F member 29 [Source:HGNC Symbol%3BAcc:HGNC:31275],OR4F29
1,ensembl_havana,gene,685679,686673,.,-,.,gene:ENSG00000284662,olfactory receptor family 4 subfamily F member 16 [Source:HGNC Symbol%3BAcc:HGNC:15079],OR4F16
1,ensembl_havana,gene,923923,944575,.,+,.,gene:ENSG00000187634,sterile alpha motif domain containing 11 [Source:HGNC Symbol%3BAcc:HGNC:28706],SAMD11
1,ensembl_havana,gene,944203,959309,.,-,.,gene:ENSG00000188976,NOC2 like nucleolar associated transcriptional repressor [Source:HGNC Symbol%3BAcc:HGNC:24517],NOC2L
1,ensembl_havana,gene,960584,965719,.,+,.,gene:ENSG00000187961,kelch like family member 17 [Source:HGNC Symbol%3BAcc:HGNC:24023],KLHL17
1,ensembl_havana,gene,966482,975865,.,+,.,gene:ENSG00000187583,pleckstrin homology domain containing N1 [Source:HGNC Symbol%3BAcc:HGNC:25284],PLEKHN1
1,ensembl_havana,gene,975204,982093,.,-,.,gene:ENSG00000187642,PPARGC1 and ESRR induced regulator%2C muscle 1 [Source:HGNC Symbol%3BAcc:HGNC:28208],PERM1
1,ensembl_havana,gene,998962,1000172,.,-,.,gene:ENSG00000188290,hes family bHLH transcription factor 4 [Source:HGNC Symbol%3BAcc:HGNC:24149],HES4
1,ensembl_havana,gene,1001138,1014540,.,+,.,gene:ENSG00000187608,ISG15 ubiquitin like modifier [Source:HGNC Symbol%3BAcc:HGNC:4053],ISG15
1,ensembl_havana,gene,1020120,1056118,.,+,.,gene:ENSG00000188157,agrin [Source:HGNC Symbol%3BAcc:HGNC:329],AGRN
1,ensembl_havana,gene,1070967,1074306,.,-,.,gene:ENSG00000237330,ring finger protein 223 [Source:HGNC Symbol%3BAcc:HGNC:40020],RNF223
1,ensembl_havana,gene,1081818,1116361,.,-,.,gene:ENSG00000131591,chromosome 1 open reading frame 159 [Source:HGNC Symbol%3BAcc:HGNC:26062],C1orf159
1,ensembl_havana,gene,1173880,1197936,.,+,.,gene:ENSG00000162571,tubulin tyrosine ligase like 10 [Source:HGNC Symbol%3BAcc:HGNC:26693],TTLL10
1,ensembl_havana,gene,1203508,1206592,.,-,.,gene:ENSG00000186891,TNF receptor superfamily member 18 [Source:HGNC Symbol%3BAcc:HGNC:11914],TNFRSF18
1,ensembl_havana,gene,1211340,1214153,.,-,.,gene:ENSG00000186827,TNF receptor superfamily member 4 [Source:HGNC Symbol%3BAcc:HGNC:11918],TNFRSF4
1,ensembl_havana,gene,1216909,1232067,.,-,.,gene:ENSG00000078808,stromal cell derived factor 4 [Source:HGNC Symbol%3BAcc:HGNC:24188],SDF4
1,ensembl_havana,gene,1232237,1235041,.,+,.,gene:ENSG00000176022,beta-1%2C3-galactosyltransferase 6 [Source:HGNC Symbol%3BAcc:HGNC:17978],B3GALT6
1,ensembl_havana,gene,1242446,1246722,.,-,.,gene:ENSG00000184163,C1q and TNF related 12 [Source:HGNC Symbol%3BAcc:HGNC:32308],C1QTNF12
1,ensembl_havana,gene,1253909,1273864,.,-,.,gene:ENSG00000160087,ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol%3BAcc:HGNC:19268],UBE2J2
1,ensembl_havana,gene,1280436,1292029,.,+,.,gene:ENSG00000162572,sodium channel epithelial 1 subunit delta [Source:HGNC Symbol%3BAcc:HGNC:10601],SCNN1D
1,ensembl_havana,gene,1292390,1309609,.,-,.,gene:ENSG00000131584,ArfGAP with coiled-coil%2C ankyrin repeat and PH domains 3 [Source:HGNC Symbol%3BAcc:HGNC:16754],ACAP3
1,ensembl_havana,gene,1308597,1311677,.,+,.,gene:ENSG00000169972,pseudouridine synthase like 1 [Source:HGNC Symbol%3BAcc:HGNC:26914],PUSL1
1,ensembl_havana,gene,1311585,1324687,.,-,.,gene:ENSG00000127054,integrator complex subunit 11 [Source:HGNC Symbol%3BAcc:HGNC:26052],INTS11
1,ensembl_havana,gene,1324756,1328896,.,+,.,gene:ENSG00000224051,ceramide-1-phosphate transfer protein [Source:HGNC Symbol%3BAcc:HGNC:28116],CPTP
1,ensembl_havana,gene,1331280,1335314,.,+,.,gene:ENSG00000169962,taste 1 receptor member 3 [Source:HGNC Symbol%3BAcc:HGNC:15661],TAS1R3
1,ensembl_havana,gene,1335276,1349418,.,-,.,gene:ENSG00000107404,dishevelled segment polarity protein 1 [Source:HGNC Symbol%3BAcc:HGNC:3084],DVL1
1,ensembl_havana,gene,1352689,1361777,.,-,.,gene:ENSG00000162576,matrix remodeling associated 8 [Source:HGNC Symbol%3BAcc:HGNC:7542],MXRA8
1,ensembl_havana,gene,1373730,1375495,.,-,.,gene:ENSG00000175756,aurora kinase A interacting protein 1 [Source:HGNC Symbol%3BAcc:HGNC:24114],AURKAIP1
1,ensembl_havana,gene,1385711,1399335,.,-,.,gene:ENSG00000221978,cyclin L2 [Source:HGNC Symbol%3BAcc:HGNC:20570],CCNL2
1,ensembl_havana,gene,1401909,1407293,.,-,.,gene:ENSG00000242485,mitochondrial ribosomal protein L20 [Source:HGNC Symbol%3BAcc:HGNC:14478],MRPL20
1,ensembl_havana,gene,1418420,1421769,.,-,.,gene:ENSG00000235098,ankyrin repeat domain 65 [Source:HGNC Symbol%3BAcc:HGNC:42950],ANKRD65
1,ensembl_havana,gene,1425871,1430255,.,+,.,gene:ENSG00000205116,transmembrane protein 88B [Source:HGNC Symbol%3BAcc:HGNC:37099],TMEM88B
1,ensembl_havana,gene,1434861,1442882,.,+,.,gene:ENSG00000179403,von Willebrand factor A domain containing 1 [Source:HGNC Symbol%3BAcc:HGNC:30910],VWA1
1,ensembl_havana,gene,1449689,1470163,.,+,.,gene:ENSG00000215915,ATPase family AAA domain containing 3C [Source:HGNC Symbol%3BAcc:HGNC:32151],ATAD3C
1,ensembl_havana,gene,1471765,1497848,.,+,.,gene:ENSG00000160072,ATPase family AAA domain containing 3B [Source:HGNC Symbol%3BAcc:HGNC:24007],ATAD3B
1,ensembl_havana,gene,1512162,1534685,.,+,.,gene:ENSG00000197785,ATPase family AAA domain containing 3A [Source:HGNC Symbol%3BAcc:HGNC:25567],ATAD3A
1,ensembl_havana,gene,1534778,1540624,.,-,.,gene:ENSG00000205090,transmembrane protein 240 [Source:HGNC Symbol%3BAcc:HGNC:25186],TMEM240
1,ensembl_havana,gene,1541673,1574863,.,-,.,gene:ENSG00000160075,SSU72 homolog%2C RNA polymerase II CTD phosphatase [Source:HGNC Symbol%3BAcc:HGNC:25016],SSU72
1,ensembl_havana,gene,1598012,1600135,.,-,.,gene:ENSG00000228594,fibronectin type III domain containing 10 [Source:HGNC Symbol%3BAcc:HGNC:42951],FNDC10
1,ensembl_havana,gene,1615454,1630605,.,+,.,gene:ENSG00000197530,MIB E3 ubiquitin protein ligase 2 [Source:HGNC Symbol%3BAcc:HGNC:30577],MIB2
1,ensembl_havana,gene,1632163,1635263,.,+,.,gene:ENSG00000189409,matrix metallopeptidase 23B [Source:HGNC Symbol%3BAcc:HGNC:7171],MMP23B
1,ensembl_havana,gene,1635225,1659012,.,-,.,gene:ENSG00000248333,cyclin dependent kinase 11B [Source:HGNC Symbol%3BAcc:HGNC:1729],CDK11B
1,ensembl_havana,gene,1659529,1692795,.,-,.,gene:ENSG00000189339,solute carrier family 35 member E2B [Source:HGNC Symbol%3BAcc:HGNC:33941],SLC35E2B
1,ensembl_havana,gene,1702379,1724357,.,-,.,gene:ENSG00000008128,cyclin dependent kinase 11A [Source:HGNC Symbol%3BAcc:HGNC:1730],CDK11A
1,ensembl_havana,gene,1751232,1780457,.,-,.,gene:ENSG00000008130,NAD kinase [Source:HGNC Symbol%3BAcc:HGNC:29831],NADK
1,ensembl_havana,gene,1785285,1891117,.,-,.,gene:ENSG00000078369,G protein subunit beta 1 [Source:HGNC Symbol%3BAcc:HGNC:4396],GNB1
1,ensembl_havana,gene,1915108,1917296,.,+,.,gene:ENSG00000169885,calmodulin like 6 [Source:HGNC Symbol%3BAcc:HGNC:24193],CALML6
1,ensembl_havana,gene,1917590,1919279,.,-,.,gene:ENSG00000178821,transmembrane protein 52 [Source:HGNC Symbol%3BAcc:HGNC:27916],TMEM52
1,ensembl_havana,gene,1921951,2003837,.,-,.,gene:ENSG00000142609,cilia and flagella associated protein 74 [Source:HGNC Symbol%3BAcc:HGNC:29368],CFAP74
1,ensembl_havana,gene,2019329,2030758,.,+,.,gene:ENSG00000187730,gamma-aminobutyric acid type A receptor subunit delta [Source:HGNC Symbol%3BAcc:HGNC:4084],GABRD
1,ensembl_havana,gene,2050411,2185395,.,+,.,gene:ENSG00000067606,protein kinase C zeta [Source:HGNC Symbol%3BAcc:HGNC:9412],PRKCZ
1,ensembl_havana,gene,2184461,2212720,.,-,.,gene:ENSG00000162585,FA core complex associated protein 20 [Source:HGNC Symbol%3BAcc:HGNC:26428],FAAP20
1,ensembl_havana,gene,2228319,2310213,.,+,.,gene:ENSG00000157933,SKI proto-oncogene [Source:HGNC Symbol%3BAcc:HGNC:10896],SKI
1,ensembl_havana,gene,2321253,2391707,.,-,.,gene:ENSG00000116151,MORN repeat containing 1 [Source:HGNC Symbol%3BAcc:HGNC:25852],MORN1
1,ensembl_havana,gene,2391775,2405442,.,+,.,gene:ENSG00000157916,retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol%3BAcc:HGNC:30309],RER1
1,ensembl_havana,gene,2403964,2413797,.,-,.,gene:ENSG00000157911,peroxisomal biogenesis factor 10 [Source:HGNC Symbol%3BAcc:HGNC:8851],PEX10
1,ensembl_havana,gene,2425980,2505532,.,+,.,gene:ENSG00000149527,phospholipase C eta 2 [Source:HGNC Symbol%3BAcc:HGNC:29037],PLCH2
1,ensembl_havana,gene,2508537,2526597,.,-,.,gene:ENSG00000157881,pantothenate kinase 4 (inactive) [Source:HGNC Symbol%3BAcc:HGNC:19366],PANK4
1,ensembl_havana,gene,2528745,2530263,.,-,.,gene:ENSG00000197921,hes family bHLH transcription factor 5 [Source:HGNC Symbol%3BAcc:HGNC:19764],HES5
1,ensembl_havana,gene,2555639,2565382,.,+,.,gene:ENSG00000157873,TNF receptor superfamily member 14 [Source:HGNC Symbol%3BAcc:HGNC:11912],TNFRSF14
1,havana,gene,2566410,2569888,.,+,.,gene:ENSG00000225931,novel transcript,
1,ensembl_havana,gene,2586491,2591469,.,+,.,gene:ENSG00000157870,peroxiredoxin like 2B [Source:HGNC Symbol%3BAcc:HGNC:28390],PRXL2B
1,ensembl_havana,gene,2590639,2633016,.,-,.,gene:ENSG00000142606,membrane metalloendopeptidase like 1 [Source:HGNC Symbol%3BAcc:HGNC:14668],MMEL1
1,ensembl_havana,gene,2635976,2801717,.,-,.,gene:ENSG00000215912,tetratricopeptide repeat domain 34 [Source:HGNC Symbol%3BAcc:HGNC:34297],TTC34
1,ensembl_havana,gene,3021467,3022903,.,+,.,gene:ENSG00000169717,actin related protein T2 [Source:HGNC Symbol%3BAcc:HGNC:24026],ACTRT2
1,ensembl_havana,gene,3069168,3438621,.,+,.,gene:ENSG00000142611,PR/SET domain 16 [Source:HGNC Symbol%3BAcc:HGNC:14000],PRDM16
1,havana,gene,3205988,3208664,.,+,.,gene:ENSG00000279839,TEC,
1,ensembl_havana,gene,3454665,3481113,.,+,.,gene:ENSG00000130762,Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol%3BAcc:HGNC:15515],ARHGEF16
