chr,source,type,start,stop,score,strand,phase,ID,comment,name
1,maker_ITAG,gene,12923,15102,.,+,.,gene:Solyc01g005000.3,Glutamate decarboxylase [Source:UniProtKB/TrEMBL%3BAcc:B1Q3F2],
1,maker_ITAG,gene,23062,26037,.,+,.,gene:Solyc01g005010.3,,
1,maker_ITAG,gene,30380,44130,.,-,.,gene:Solyc01g005020.3,,
1,maker_ITAG,gene,46062,61589,.,+,.,gene:Solyc01g005030.3,,
1,maker_ITAG,gene,58677,61589,.,-,.,gene:Solyc01g005060.3,,
1,maker_ITAG,gene,65647,66843,.,+,.,gene:Solyc01g005070.3,,
1,maker_ITAG,gene,67817,73169,.,-,.,gene:Solyc01g005080.3,,
1,maker_ITAG,gene,82582,89176,.,-,.,gene:Solyc01g005090.3,,
1,maker_ITAG,gene,91751,97452,.,-,.,gene:Solyc01g005100.3,,
1,maker_ITAG,gene,99356,103282,.,+,.,gene:Solyc01g005110.3,DPMS3 [Source:Projected from Arabidopsis thaliana (AT1G48140) UniProtKB/TrEMBL%3BAcc:A0A178WDH1],
1,maker_ITAG,gene,104207,107325,.,-,.,gene:Solyc01g005120.3,,
1,maker_ITAG,gene,124770,125794,.,+,.,gene:Solyc01g005130.2,,
1,maker_ITAG,gene,127074,134213,.,-,.,gene:Solyc01g005140.3,Probable transmembrane ascorbate ferrireductase 3 [Source:Projected from Arabidopsis thaliana (AT1G14730) UniProtKB/Swiss-Prot%3BAcc:Q67ZF6],
1,maker_ITAG,gene,137971,139251,.,+,.,gene:Solyc01g005160.3,,
1,maker_ITAG,gene,141246,144909,.,+,.,gene:Solyc01g005170.2,,
1,maker_ITAG,gene,147450,147725,.,-,.,gene:Solyc01g005180.1,,
1,maker_ITAG,gene,151495,157572,.,+,.,gene:Solyc01g005200.2,,
1,maker_ITAG,gene,165332,169318,.,+,.,gene:Solyc01g005210.3,Alpha%2Calpha-trehalose-phosphate synthase [UDP-forming] 6 [Source:Projected from Arabidopsis thaliana (AT1G68020) UniProtKB/Swiss-Prot%3BAcc:Q94AH8],
1,maker_ITAG,gene,173567,180781,.,+,.,gene:Solyc01g005220.3,,
1,maker_ITAG,gene,181577,182840,.,+,.,gene:Solyc01g005230.3,,
1,maker_ITAG,gene,185555,191705,.,+,.,gene:Solyc01g005240.3,,
1,maker_ITAG,gene,191358,195082,.,-,.,gene:Solyc01g005250.3,,
1,maker_ITAG,gene,195626,199193,.,+,.,gene:Solyc01g005260.3,,
1,maker_ITAG,gene,199928,203236,.,-,.,gene:Solyc01g005270.3,,
1,maker_ITAG,gene,204872,207266,.,-,.,gene:Solyc01g005280.3,,
1,maker_ITAG,gene,209137,209394,.,-,.,gene:Solyc01g005290.3,,
1,maker_ITAG,gene,210837,211044,.,-,.,gene:Solyc01g005295.1,,
1,maker_ITAG,gene,216877,220489,.,+,.,gene:Solyc01g005300.3,FKF1 [Source:Projected from Arabidopsis thaliana (AT1G68050) UniProtKB/TrEMBL%3BAcc:A0A178W8F6],
1,maker_ITAG,gene,218549,220138,.,-,.,gene:Solyc01g005305.1,,
1,maker_ITAG,gene,220560,237031,.,-,.,gene:Solyc01g005310.3,DRP1C [Source:Projected from Arabidopsis thaliana (AT1G14830) UniProtKB/TrEMBL%3BAcc:A0A178W4V6],
1,maker_ITAG,gene,240684,249595,.,-,.,gene:Solyc01g005340.3,,
1,maker_ITAG,gene,257332,258836,.,+,.,gene:Solyc01g005360.3,,
1,maker_ITAG,gene,259884,260402,.,+,.,gene:Solyc01g005370.3,,
1,maker_ITAG,gene,261021,265616,.,+,.,gene:Solyc01g005380.2,,
1,maker_ITAG,gene,261136,265411,.,+,.,gene:Solyc01g005385.1,,
1,maker_ITAG,gene,276028,278025,.,+,.,gene:Solyc01g005390.3,,
1,maker_ITAG,gene,279104,283739,.,+,.,gene:Solyc01g005400.3,,
1,maker_ITAG,gene,286693,290153,.,+,.,gene:Solyc01g005410.3,,
1,maker_ITAG,gene,293554,294380,.,-,.,gene:Solyc01g005420.2,,
1,maker_ITAG,gene,298680,303581,.,+,.,gene:Solyc01g005430.3,Plant UBX domain-containing protein 2 [Source:Projected from Arabidopsis thaliana (AT2G01650) UniProtKB/Swiss-Prot%3BAcc:Q9ZU93],
1,maker_ITAG,gene,309090,312465,.,+,.,gene:Solyc01g005440.3,,
1,maker_ITAG,gene,314758,321092,.,-,.,gene:Solyc01g005460.3,,
1,maker_ITAG,gene,322539,324960,.,-,.,gene:Solyc01g005470.3,,
1,maker_ITAG,gene,332991,337049,.,+,.,gene:Solyc01g005480.3,,
1,maker_ITAG,gene,337908,340634,.,-,.,gene:Solyc01g005490.3,,
1,maker_ITAG,gene,344744,346673,.,+,.,gene:Solyc01g005500.3,,
1,maker_ITAG,gene,347207,348880,.,-,.,gene:Solyc01g005510.3,,
1,maker_ITAG,gene,350024,352716,.,+,.,gene:Solyc01g005520.3,Protein MET1%2C chloroplastic [Source:Projected from Arabidopsis thaliana (AT1G55480) UniProtKB/Swiss-Prot%3BAcc:Q94BS2],
1,maker_ITAG,gene,353904,356524,.,-,.,gene:Solyc01g005530.3,,
1,maker_ITAG,gene,359779,370504,.,-,.,gene:Solyc01g005540.3,Lysine--tRNA ligase [Source:UniProtKB/TrEMBL%3BAcc:K4ASC0],
1,maker_ITAG,gene,382343,385475,.,+,.,gene:Solyc01g005550.3,,
1,maker_ITAG,gene,394353,399328,.,+,.,gene:Solyc01g005560.3,Isocitrate dehydrogenase [NADP] [Source:UniProtKB/TrEMBL%3BAcc:K4ASC2],
1,maker_ITAG,gene,400722,403017,.,-,.,gene:Solyc01g005570.3,,
1,maker_ITAG,gene,407272,409305,.,-,.,gene:Solyc01g005575.1,,
1,maker_ITAG,gene,416887,417304,.,+,.,gene:Solyc01g005590.2,,
1,maker_ITAG,gene,420193,426353,.,-,.,gene:Solyc01g005600.3,,
1,maker_ITAG,gene,427655,430341,.,+,.,gene:Solyc01g005610.3,,
1,maker_ITAG,gene,430476,435080,.,-,.,gene:Solyc01g005620.3,,
1,maker_ITAG,gene,444811,445619,.,+,.,gene:Solyc01g005630.2,Ethylene-responsive transcription factor RAP2-11 [Source:Projected from Arabidopsis thaliana (AT5G19790) UniProtKB/Swiss-Prot%3BAcc:Q6J9S1],
1,maker_ITAG,gene,449852,454647,.,+,.,gene:Solyc01g005640.3,,
1,maker_ITAG,gene,455415,457261,.,-,.,gene:Solyc01g005650.2,,
1,maker_ITAG,gene,460108,461408,.,+,.,gene:Solyc01g005660.2,,
1,maker_ITAG,gene,461647,461982,.,+,.,gene:Solyc01g005665.1,,
1,maker_ITAG,gene,466435,467304,.,+,.,gene:Solyc01g005670.3,,
1,maker_ITAG,gene,472529,477341,.,+,.,gene:Solyc01g005680.3,,
1,maker_ITAG,gene,478644,480426,.,-,.,gene:Solyc01g005690.3,SUB1 [Source:Projected from Arabidopsis thaliana (AT4G08810) UniProtKB/TrEMBL%3BAcc:A0A178UWI5],
1,maker_ITAG,gene,481060,484939,.,-,.,gene:Solyc01g005700.3,,
1,maker_ITAG,gene,486165,493420,.,-,.,gene:Solyc01g005705.1,,
1,maker_ITAG,gene,486502,487105,.,+,.,gene:Solyc01g005710.2,,
1,maker_ITAG,gene,488057,490061,.,+,.,gene:Solyc01g005715.1,,
1,maker_ITAG,gene,490689,494533,.,+,.,gene:Solyc01g005730.3,,
1,maker_ITAG,gene,493985,494469,.,-,.,gene:Solyc01g005740.3,,
1,maker_ITAG,gene,495111,495438,.,+,.,gene:Solyc01g005750.1,,
1,maker_ITAG,gene,496501,499119,.,+,.,gene:Solyc01g005755.1,,
1,maker_ITAG,gene,497949,502223,.,-,.,gene:Solyc01g005770.3,,
1,maker_ITAG,gene,501852,505114,.,+,.,gene:Solyc01g005775.1,,
1,maker_ITAG,gene,505626,507002,.,-,.,gene:Solyc01g005790.1,,
1,maker_ITAG,gene,507950,508898,.,-,.,gene:Solyc01g005795.1,,
1,maker_ITAG,gene,512557,515973,.,-,.,gene:Solyc01g005800.3,,
1,maker_ITAG,gene,530367,534782,.,+,.,gene:Solyc01g005810.3,Protein MAK16 homolog [Source:UniProtKB/TrEMBL%3BAcc:K4ASE7],
1,maker_ITAG,gene,535572,541703,.,+,.,gene:Solyc01g005820.3,,
1,maker_ITAG,gene,558799,559367,.,+,.,gene:Solyc01g005825.1,,
1,maker_ITAG,gene,564882,571160,.,+,.,gene:Solyc01g005830.3,,
1,maker_ITAG,gene,571881,574927,.,+,.,gene:Solyc01g005840.3,Ubiquitin-conjugating enzyme COP10 [Source:Projected from Arabidopsis thaliana (AT3G13550) UniProtKB/TrEMBL%3BAcc:Q0WNL1],
1,maker_ITAG,gene,575559,576446,.,+,.,gene:Solyc01g005850.2,,
1,maker_ITAG,gene,577114,580028,.,-,.,gene:Solyc01g005860.2,,
1,maker_ITAG,gene,581112,583904,.,-,.,gene:Solyc01g005865.1,,
1,maker_ITAG,gene,585371,586414,.,+,.,gene:Solyc01g005880.1,,
1,maker_ITAG,gene,587984,588900,.,+,.,gene:Solyc01g005890.1,,
1,maker_ITAG,gene,590339,591791,.,-,.,gene:Solyc01g005895.1,,
1,maker_ITAG,gene,590594,598470,.,+,.,gene:Solyc01g005910.3,,
1,maker_ITAG,gene,606106,610218,.,+,.,gene:Solyc01g005930.3,,
1,maker_ITAG,gene,614495,616753,.,+,.,gene:Solyc01g005940.3,,
1,maker_ITAG,gene,616639,624436,.,-,.,gene:Solyc01g005950.3,,
1,maker_ITAG,gene,625153,632593,.,+,.,gene:Solyc01g005960.3,,
1,maker_ITAG,gene,642039,647471,.,+,.,gene:Solyc01g005970.3,,
1,maker_ITAG,gene,649541,652114,.,-,.,gene:Solyc01g005980.3,,
1,maker_ITAG,gene,653437,655153,.,-,.,gene:Solyc01g005990.3,,
1,maker_ITAG,gene,661940,669581,.,+,.,gene:Solyc01g006000.3,GPI mannosyltransferase 2 [Source:UniProtKB/TrEMBL%3BAcc:K4ASG6],
1,maker_ITAG,gene,670648,678467,.,+,.,gene:Solyc01g006010.3,,
1,maker_ITAG,gene,678843,681793,.,-,.,gene:Solyc01g006020.3,,
1,maker_ITAG,gene,712452,726948,.,-,.,gene:Solyc01g006040.3,E3 ubiquitin protein ligase [Source:UniProtKB/TrEMBL%3BAcc:K4ASH0],
1,maker_ITAG,gene,728672,730061,.,-,.,gene:Solyc01g006050.2,,
1,maker_ITAG,gene,737074,737652,.,+,.,gene:Solyc01g006060.3,Dirigent protein [Source:UniProtKB/TrEMBL%3BAcc:K4ASH2],
1,maker_ITAG,gene,739393,740351,.,-,.,gene:Solyc01g006070.2,,
1,maker_ITAG,gene,746437,749861,.,-,.,gene:Solyc01g006080.2,,
1,maker_ITAG,gene,753737,755322,.,+,.,gene:Solyc01g006090.3,,
1,maker_ITAG,gene,756262,764489,.,-,.,gene:Solyc01g006100.3,,
1,maker_ITAG,gene,766154,771927,.,-,.,gene:Solyc01g006110.3,PP2A regulatory subunit TAP46 [Source:Projected from Arabidopsis thaliana (AT5G53000) UniProtKB/Swiss-Prot%3BAcc:Q8LDQ4],
1,maker_ITAG,gene,775937,784419,.,+,.,gene:Solyc01g006120.3,,
1,maker_ITAG,gene,785063,789383,.,+,.,gene:Solyc01g006130.3,Protein PHOTOSYSTEM I ASSEMBLY 2%2C chloroplastic [Source:Projected from Arabidopsis thaliana (AT2G34860) UniProtKB/Swiss-Prot%3BAcc:O64750],
1,maker_ITAG,gene,789404,793463,.,-,.,gene:Solyc01g006140.3,,
1,maker_ITAG,gene,797118,801691,.,-,.,gene:Solyc01g006150.3,,
1,maker_ITAG,gene,805837,807962,.,-,.,gene:Solyc01g006160.3,,
1,maker_ITAG,gene,808930,811277,.,-,.,gene:Solyc01g006170.3,,
1,maker_ITAG,gene,812230,818879,.,-,.,gene:Solyc01g006180.3,,
1,maker_ITAG,gene,819074,822480,.,-,.,gene:Solyc01g006190.3,E3 ubiquitin-protein ligase [Source:UniProtKB/TrEMBL%3BAcc:K4ASI5],
1,maker_ITAG,gene,822498,823637,.,-,.,gene:Solyc01g006195.1,,
1,maker_ITAG,gene,829576,832645,.,+,.,gene:Solyc01g006200.3,,
1,maker_ITAG,gene,833133,836543,.,-,.,gene:Solyc01g006210.3,At5g21140 [Source:Projected from Arabidopsis thaliana (AT5G21140) UniProtKB/TrEMBL%3BAcc:Q84VP9],
1,maker_ITAG,gene,839412,851308,.,-,.,gene:Solyc01g006220.2,,
1,maker_ITAG,gene,852614,858911,.,+,.,gene:Solyc01g006230.3,,
1,maker_ITAG,gene,859861,860918,.,-,.,gene:Solyc01g006240.3,,
1,maker_ITAG,gene,861410,864064,.,-,.,gene:Solyc01g006250.2,,
1,maker_ITAG,gene,866282,869756,.,+,.,gene:Solyc01g006260.3,,
1,maker_ITAG,gene,873680,874392,.,-,.,gene:Solyc01g006270.2,,
1,maker_ITAG,gene,873779,880657,.,+,.,gene:Solyc01g006280.3,,
1,maker_ITAG,gene,884367,886987,.,+,.,gene:Solyc01g006290.3,,
1,maker_ITAG,gene,888483,891334,.,-,.,gene:Solyc01g006300.3,Peroxidase [Source:UniProtKB/TrEMBL%3BAcc:K4ASJ6],
1,maker_ITAG,gene,898762,901643,.,+,.,gene:Solyc01g006310.3,Peroxidase [Source:UniProtKB/TrEMBL%3BAcc:K4ASJ7],
1,maker_ITAG,gene,903446,904121,.,+,.,gene:Solyc01g006320.3,,
1,maker_ITAG,gene,909106,918634,.,+,.,gene:Solyc01g006340.3,DEAD-box ATP-dependent RNA helicase 41 [Source:Projected from Arabidopsis thaliana (AT3G02065) UniProtKB/Swiss-Prot%3BAcc:Q3EBD3],
1,maker_ITAG,gene,934010,945512,.,-,.,gene:Solyc01g006350.3,Glucan synthase-like 10 [Source:Projected from Arabidopsis thaliana (AT3G07160) UniProtKB/TrEMBL%3BAcc:A0A178V7F9],
1,maker_ITAG,gene,951338,981297,.,-,.,gene:Solyc01g006360.3,,
1,maker_ITAG,gene,983202,1005282,.,-,.,gene:Solyc01g006370.3,Callose synthase 3 [Source:Projected from Arabidopsis thaliana (AT5G13000) UniProtKB/Swiss-Prot%3BAcc:Q9LXT9],
1,maker_ITAG,gene,1012479,1014082,.,+,.,gene:Solyc01g006380.2,,
1,maker_ITAG,gene,1016905,1018236,.,-,.,gene:Solyc01g006390.2,Extensin-like protein [Source:UniProtKB/TrEMBL%3BAcc:Q9XG52],
1,maker_ITAG,gene,1020863,1022356,.,-,.,gene:Solyc01g006400.3,,
1,maker_ITAG,gene,1024549,1025244,.,-,.,gene:Solyc01g006410.3,,
