chr,source,type,start,stop,score,strand,phase,ID,comment,name
2L,VectorBase,gene,17351,18787,.,+,.,gene:AGAP029842,,
2L,VectorBase,gene,157348,186936,.,-,.,gene:AGAP004677,methylenetetrahydrofolate dehydrogenase(NAD+) / 5%2C10-methenyltetrahydrofolate,
2L,VectorBase,gene,203779,205293,.,+,.,gene:AGAP004678,,
2L,VectorBase,gene,207894,210460,.,+,.,gene:AGAP004679,Folylpolyglutamate synthase [Source:UniProtKB/TrEMBL%3BAcc:Q5TSB4],
2L,VectorBase,gene,271285,271815,.,+,.,gene:AGAP004680,,
2L,VectorBase,gene,358329,359280,.,-,.,gene:AGAP004681,,
2L,VectorBase,gene,433503,461627,.,-,.,gene:AGAP004682,U4/U6 small nuclear ribonucleoprotein PRP3,
2L,VectorBase,gene,471591,472168,.,+,.,gene:AGAP029850,,
2L,VectorBase,gene,476276,484647,.,-,.,gene:AGAP028431,,
2L,VectorBase,gene,485388,488531,.,-,.,gene:AGAP004683,,
2L,VectorBase,gene,492965,493569,.,+,.,gene:AGAP004684,rRNA-processing protein CGR1,
2L,VectorBase,gene,493579,497632,.,-,.,gene:AGAP004685,DNA replication ATP-dependent helicase Dna2,
2L,VectorBase,gene,742004,789572,.,+,.,gene:AGAP004686,,
2L,VectorBase,gene,819113,819301,.,-,.,gene:AGAP004687,,
2L,VectorBase,gene,931776,987882,.,-,.,gene:AGAP028432,,
2L,VectorBase,gene,1008860,1009839,.,-,.,gene:AGAP029798,,
2L,VectorBase,gene,1011773,1013274,.,-,.,gene:AGAP029795,,
2L,VectorBase,gene,1052036,1057434,.,+,.,gene:AGAP004689,,
2L,VectorBase,gene,1133037,1133751,.,-,.,gene:AGAP004690,cuticular protein 3 from fifty-one aa family,CPF3
2L,VectorBase,gene,1185940,1187858,.,+,.,gene:AGAP029344,,
2L,VectorBase,gene,1270280,1301008,.,-,.,gene:AGAP004691,LIM domain-binding protein 1,
2L,VectorBase,gene,1315238,1333056,.,+,.,gene:AGAP028433,,
2L,VectorBase,gene,1411011,1441380,.,+,.,gene:AGAP004692,,
2L,VectorBase,gene,1527099,1537540,.,-,.,gene:AGAP004693,,
2L,VectorBase,gene,1594183,1627361,.,-,.,gene:AGAP004694,,
2L,VectorBase,gene,1628982,1692631,.,+,.,gene:AGAP028434,,
2L,VectorBase,gene,1760891,1762114,.,+,.,gene:AGAP028435,,
2L,VectorBase,gene,1772469,1777318,.,-,.,gene:AGAP029368,,
2L,VectorBase,gene,1834186,1835605,.,+,.,gene:AGAP004695,ESCRT-I complex subunit MVB12,
2L,VectorBase,gene,1923904,1965505,.,-,.,gene:AGAP004696,Homeobox protein extradenticle [Source:UniProtKB/Swiss-Prot%3BAcc:Q7PMT1],exd
2L,VectorBase,gene,1967083,1971192,.,-,.,gene:AGAP004698,Pre-mRNA-splicing factor 38B [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4GMG8],
