chr,source,type,start,stop,score,strand,phase,ID,comment,name
211000022278760,FlyBase,gene,562,879,.,-,.,gene:FBgn0085506,,CG40635
211000022279188,FlyBase,gene,1449,2180,.,+,.,gene:FBgn0259817,SteXh:CG42398,SteXh:CG42398
211000022280328,FlyBase,gene,7386,9527,.,-,.,gene:FBgn0085692,,CG41561
2L,FlyBase,gene,9839,21376,.,-,.,gene:FBgn0002121,lethal (2) giant larvae,l(2)gl
2L,FlyBase,gene,21823,25155,.,-,.,gene:FBgn0031209,Ionotropic receptor 21a,Ir21a
2L,FlyBase,gene,25402,65404,.,-,.,gene:FBgn0051973,Chitin deacetylase-like 5,Cda5
2L,FlyBase,gene,66482,71390,.,+,.,gene:FBgn0067779,debra,dbr
2L,FlyBase,gene,71757,76211,.,+,.,gene:FBgn0031213,galectin,galectin
2L,FlyBase,gene,76348,77783,.,+,.,gene:FBgn0031214,,CG11374
2L,FlyBase,gene,82421,87387,.,-,.,gene:FBgn0002931,net,net
2L,FlyBase,gene,94739,102086,.,+,.,gene:FBgn0031216,Zizimin-related,Zir
2L,FlyBase,gene,102380,104142,.,+,.,gene:FBgn0031217,,CG11377
2L,FlyBase,gene,103962,106732,.,-,.,gene:FBgn0026787,Na[+]/H[+] hydrogen exchanger 1,Nhe1
2L,FlyBase,gene,106903,114432,.,+,.,gene:FBgn0005278,S-adenosylmethionine Synthetase,Sam-S
2L,FlyBase,gene,114726,156030,.,+,.,gene:FBgn0031228,NADH dehydrogenase (ubiquinone) 15 kDa subunit,ND-15
2L,FlyBase,gene,115365,116488,.,-,.,gene:FBgn0031219,,CG13694
2L,FlyBase,gene,116970,121754,.,-,.,gene:FBgn0031220,,CG4822
2L,FlyBase,gene,122624,130791,.,-,.,gene:FBgn0025683,,CG3164
2L,FlyBase,gene,132077,134472,.,+,.,gene:FBgn0001142,Glutamine synthetase 1,Gs1
2L,FlyBase,gene,138384,140992,.,-,.,gene:FBgn0051976,oven mitt,ovm
2L,FlyBase,gene,138384,140992,.,-,.,gene:FBgn0051975,,CG31975
2L,FlyBase,gene,141077,143091,.,-,.,gene:FBgn0051974,,CG31974
2L,FlyBase,gene,143323,144227,.,+,.,gene:FBgn0031224,,CG11454
2L,FlyBase,gene,144231,153300,.,-,.,gene:FBgn0259818,,CG42399
2L,FlyBase,gene,153539,155305,.,-,.,gene:FBgn0031227,,CG3709
2L,FlyBase,gene,156029,157666,.,+,.,gene:FBgn0031229,,CG3436
2L,FlyBase,gene,157836,158664,.,-,.,gene:FBgn0053635,,CG33635
2L,FlyBase,gene,159032,203397,.,+,.,gene:FBgn0016977,split ends,spen
2L,FlyBase,gene,203779,204782,.,+,.,gene:FBgn0031231,mitochondrial ribosomal protein L10,mRpL10
2L,FlyBase,gene,204743,207297,.,-,.,gene:FBgn0031232,,CG11617
2L,FlyBase,gene,207179,210725,.,+,.,gene:FBgn0031233,TBC1 domain family member 15/17,Tbc1d15-17
2L,FlyBase,gene,210735,250823,.,-,.,gene:FBgn0266557,kismet,kis
2L,FlyBase,gene,232487,234208,.,+,.,gene:FBgn0031235,,CG13693
2L,FlyBase,gene,251039,252373,.,-,.,gene:FBgn0283652,RNaseP protein p30,Rpp30
2L,FlyBase,gene,252589,271744,.,-,.,gene:FBgn0031238,,CG3645
2L,FlyBase,gene,259949,267505,.,-,.,gene:FBgn0031239,,CG17075
2L,FlyBase,gene,269088,271626,.,+,.,gene:FBgn0031240,,CG3345
2L,FlyBase,gene,271912,273715,.,-,.,gene:FBgn0086912,mushroom body miniature,mbm
2L,FlyBase,gene,273836,274766,.,+,.,gene:FBgn0086856,,CG11555
2L,FlyBase,gene,274740,278234,.,-,.,gene:FBgn0086855,,CG17078
2L,FlyBase,gene,277582,282167,.,+,.,gene:FBgn0003444,smoothened,smo
2L,FlyBase,gene,281670,283269,.,-,.,gene:FBgn0031244,,CG11601
2L,FlyBase,gene,283385,291795,.,-,.,gene:FBgn0031245,,CG3625
2L,FlyBase,gene,287252,289144,.,-,.,gene:FBgn0025686,Amnionless,Amnionless
2L,FlyBase,gene,292419,293222,.,+,.,gene:FBgn0031247,,CG11562
2L,FlyBase,gene,292959,294681,.,-,.,gene:FBgn0017457,U2 small nuclear riboprotein auxiliary factor 38,U2af38
2L,FlyBase,gene,295122,297449,.,+,.,gene:FBgn0024352,Stress induced phosphoprotein 1,Stip1
2L,FlyBase,gene,297880,305233,.,+,.,gene:FBgn0020622,Pi3K21B,Pi3K21B
