chr,source,type,start,stop,score,strand,phase,ID,comment,name
1,iggp,gene,10731,27597,.,+,.,gene:VIT_01s0011g00010,,
1,iggp,gene,33171,36056,.,+,.,gene:VIT_01s0011g00030,,
1,iggp,gene,46794,47258,.,-,.,gene:VIT_01s0011g00040,,
1,iggp,gene,50473,58028,.,+,.,gene:VIT_01s0011g00050,,
1,iggp,gene,60839,61441,.,-,.,gene:VIT_01s0011g00060,,
1,iggp,gene,93202,107691,.,-,.,gene:VIT_01s0011g00070,,
1,iggp,gene,109284,110282,.,-,.,gene:VIT_01s0011g00080,,
1,iggp,gene,116646,118695,.,+,.,gene:VIT_01s0011g00090,,
1,iggp,gene,150391,175330,.,-,.,gene:VIT_01s0011g00100,AP1-like protein [Source:UniProtKB/TrEMBL%3BAcc:Q6E6S7],
1,iggp,gene,194107,206427,.,-,.,gene:VIT_01s0011g00110,,
1,iggp,gene,220849,222050,.,+,.,gene:VIT_01s0011g00120,,
1,iggp,gene,231616,236216,.,+,.,gene:VIT_01s0011g00130,Squamosa promoter-binding-like protein 6 [Source:Projected from Arabidopsis thaliana (AT1G69170) UniProtKB/Swiss-Prot%3BAcc:Q94JW8],
1,iggp,gene,237202,239334,.,-,.,gene:VIT_01s0011g00140,,
1,iggp,gene,246096,257603,.,+,.,gene:VIT_01s0011g00150,,
1,iggp,gene,258838,261831,.,-,.,gene:VIT_01s0011g00160,Glycosyltransferase (Fragment) [Source:Projected from Arabidopsis thaliana (AT3G08900) UniProtKB/TrEMBL%3BAcc:W8Q6U1],
1,iggp,gene,263078,269146,.,-,.,gene:VIT_01s0011g00170,,
1,iggp,gene,284363,287490,.,-,.,gene:VIT_01s0011g00190,,
1,iggp,gene,297114,301962,.,+,.,gene:VIT_01s0011g00210,,
1,iggp,gene,302034,304734,.,-,.,gene:VIT_01s0011g00230,,
1,iggp,gene,305943,311656,.,+,.,gene:VIT_01s0011g00240,Fructokinase-like 2%2C chloroplastic [Source:Projected from Arabidopsis thaliana (AT1G69200) UniProtKB/Swiss-Prot%3BAcc:F4I0K2],
1,iggp,gene,312475,317120,.,-,.,gene:VIT_01s0011g00250,,
1,iggp,gene,334518,337494,.,-,.,gene:VIT_01s0011g00280,,
1,iggp,gene,339441,341533,.,-,.,gene:VIT_01s0011g00290,,
1,iggp,gene,342667,373795,.,-,.,gene:VIT_01s0011g00300,Protein kinase superfamily protein [Source:Projected from Arabidopsis thaliana (AT1G69220) UniProtKB/TrEMBL%3BAcc:O24527],
1,iggp,gene,376807,378298,.,+,.,gene:VIT_01s0011g00340,,
1,iggp,gene,381235,382922,.,-,.,gene:VIT_01s0011g00350,Cytochrome P450 78A5 [Source:Projected from Arabidopsis thaliana (AT1G13710) UniProtKB/Swiss-Prot%3BAcc:Q9LMX7],
1,iggp,gene,390763,395192,.,-,.,gene:VIT_01s0011g00370,,
1,iggp,gene,397196,400518,.,+,.,gene:VIT_01s0011g00380,,
1,iggp,gene,400519,418459,.,-,.,gene:VIT_01s0011g00390,,
1,iggp,gene,419906,428841,.,+,.,gene:VIT_01s0011g00400,,
1,iggp,gene,433726,439562,.,+,.,gene:VIT_01s0011g00410,,
1,iggp,gene,442062,445496,.,-,.,gene:VIT_01s0011g00420,,
1,iggp,gene,448552,451702,.,-,.,gene:VIT_01s0011g00440,,
1,iggp,gene,453463,457919,.,+,.,gene:VIT_01s0011g00450,Magnesium transporter MRS2-5 [Source:Projected from Arabidopsis thaliana (AT2G03620) UniProtKB/Swiss-Prot%3BAcc:Q9ZPR4],
1,iggp,gene,459100,463531,.,-,.,gene:VIT_01s0011g00460,,
1,iggp,gene,464655,474910,.,-,.,gene:VIT_01s0011g00470,Purple acid phosphatase [Source:UniProtKB/TrEMBL%3BAcc:D7T9W8],
1,iggp,gene,475582,481450,.,-,.,gene:VIT_01s0011g00490,,
1,iggp,gene,482057,495577,.,+,.,gene:VIT_01s0011g00500,RUS3 [Source:Projected from Arabidopsis thaliana (AT1G13770) UniProtKB/TrEMBL%3BAcc:A0A178WJD5],
1,iggp,gene,496535,498672,.,+,.,gene:VIT_01s0011g00510,,
1,iggp,gene,498867,500444,.,-,.,gene:VIT_01s0011g00520,,
1,iggp,gene,501468,504034,.,-,.,gene:VIT_01s0011g00530,,
1,iggp,gene,506835,513187,.,-,.,gene:VIT_01s0011g00540,,
1,iggp,gene,515746,520912,.,+,.,gene:VIT_01s0011g00550,,
1,iggp,gene,523912,525943,.,-,.,gene:VIT_01s0011g00570,,
1,iggp,gene,529787,543820,.,+,.,gene:VIT_01s0011g00580,,
1,iggp,gene,543821,549831,.,-,.,gene:VIT_01s0011g00590,,
1,iggp,gene,550208,556153,.,-,.,gene:VIT_01s0011g00600,,
1,iggp,gene,558179,562815,.,+,.,gene:VIT_01s0011g00610,,
1,iggp,gene,563253,566683,.,-,.,gene:VIT_01s0011g00620,,
1,iggp,gene,572047,573571,.,+,.,gene:VIT_01s0011g00630,,
1,iggp,gene,573650,579327,.,-,.,gene:VIT_01s0011g00640,,
