chr,source,type,start,stop,score,strand,phase,ID,comment,name
1,ensembl,gene,699413,708065,.,+,.,gene:ENSRNOG00000047964,vomeronasal type-2 receptor 26-like [Source:NCBI gene%3BAcc:100909608],AABR07000089.1
1,ensembl,gene,744616,755645,.,-,.,gene:ENSRNOG00000050370,vomeronasal 2 receptor%2C 6 [Source:RGD Symbol%3BAcc:1562697],Vom2r6
1,ensembl,gene,804862,813517,.,-,.,gene:ENSRNOG00000032365,vomeronasal 2 receptor%2C 5 [Source:RGD Symbol%3BAcc:1585898],Vom2r5
1,ensembl,gene,1101965,1116926,.,-,.,gene:ENSRNOG00000040300,retinoic acid early transcript 1E [Source:RGD Symbol%3BAcc:1311118],Raet1e
1,ensembl,gene,1180932,1220916,.,+,.,gene:ENSRNOG00000061316,UL16 binding protein 1 [Source:RGD Symbol%3BAcc:7509852],Ulbp1
1,ensembl,gene,1390128,1392329,.,-,.,gene:ENSRNOG00000050129,,AABR07000137.1
1,ensembl,gene,1454868,1474846,.,-,.,gene:ENSRNOG00000023659,,AABR07000147.1
1,ensembl,gene,1545134,1546169,.,+,.,gene:ENSRNOG00000029897,,AABR07000156.1
1,ensembl,gene,1617385,1619634,.,+,.,gene:ENSRNOG00000042852,,AABR07000158.1
1,ensembl,gene,1669086,1669361,.,-,.,gene:ENSRNOG00000055877,,AABR07000159.4
1,ensembl,gene,1702696,1731210,.,+,.,gene:ENSRNOG00000014303,LDL receptor related protein 11 [Source:RGD Symbol%3BAcc:1308602],Lrp11
1,ensembl,gene,1736276,1767618,.,-,.,gene:ENSRNOG00000014330,protein-L-isoaspartate (D-aspartate) O-methyltransferase 1 [Source:RGD Symbol%3BAcc:3268],Pcmt1
1,ensembl,gene,1771710,1782091,.,+,.,gene:ENSRNOG00000049505,nucleoporin 43 [Source:RGD Symbol%3BAcc:1596513],Nup43
1,ensembl,gene,1784078,1817310,.,+,.,gene:ENSRNOG00000014916,large tumor suppressor kinase 1 [Source:RGD Symbol%3BAcc:1564085],Lats1
1,ensembl,gene,1825872,1867787,.,+,.,gene:ENSRNOG00000014996,katanin catalytic subunit A1 [Source:RGD Symbol%3BAcc:1303062],Katna1
1,ensembl,gene,1870388,1885981,.,-,.,gene:ENSRNOG00000015239,glycoprotein integral membrane 1 [Source:RGD Symbol%3BAcc:1309759],Ginm1
1,ensembl,gene,1888877,1889236,.,-,.,gene:ENSRNOG00000053710,,AABR07000159.2
1,ensembl,gene,1897338,1929763,.,+,.,gene:ENSRNOG00000015552,peptidylprolyl isomerase like 4 [Source:RGD Symbol%3BAcc:1311051],Ppil4
1,ensembl,gene,1938419,1972918,.,+,.,gene:ENSRNOG00000016041,zinc finger CCCH type containing 12D [Source:RGD Symbol%3BAcc:1597152],Zc3h12d
1,ensembl,gene,1999596,2073896,.,-,.,gene:ENSRNOG00000016054,TGF-beta activated kinase 1/MAP3K7 binding protein 2 [Source:RGD Symbol%3BAcc:1309527],Tab2
1,ensembl,gene,2333778,2627747,.,-,.,gene:ENSRNOG00000016381,uronyl-2-sulfotransferase [Source:RGD Symbol%3BAcc:1304743],Ust
1,ensembl,gene,2782864,2846200,.,-,.,gene:ENSRNOG00000013160,SAM and SH3 domain containing 1 [Source:RGD Symbol%3BAcc:1566017],Sash1
1,ensembl,gene,3713750,3763392,.,-,.,gene:ENSRNOG00000023549,sterile alpha motif domain containing 5 [Source:RGD Symbol%3BAcc:1311012],Samd5
1,ensembl,gene,3848619,3849080,.,-,.,gene:ENSRNOG00000031859,similar to ribosomal protein L27a [Source:RGD Symbol%3BAcc:1560633],RGD1560633
1,ensembl,gene,3858909,4011511,.,-,.,gene:ENSRNOG00000013351,syntaxin binding protein 5 [Source:RGD Symbol%3BAcc:708517],Stxbp5
1,ensembl,gene,4445027,4560789,.,-,.,gene:ENSRNOG00000042741,androglobin [Source:RGD Symbol%3BAcc:1564259],Adgb
1,ensembl,gene,4637491,4653210,.,-,.,gene:ENSRNOG00000014258,RAB32%2C member RAS oncogene family [Source:RGD Symbol%3BAcc:1559997],Rab32
1,ensembl,gene,4753144,5165859,.,-,.,gene:ENSRNOG00000014290,glutamate metabotropic receptor 1 [Source:RGD Symbol%3BAcc:2742],Grm1
1,ensembl,gene,5240180,5313054,.,+,.,gene:ENSRNOG00000014450,SNF2 histone linker PHD RING helicase [Source:RGD Symbol%3BAcc:1310342],Shprh
1,ensembl,gene,5366379,5388069,.,+,.,gene:ENSRNOG00000014852,F-box protein 30 [Source:RGD Symbol%3BAcc:1359367],Fbxo30
1,ensembl,gene,5448958,5571512,.,+,.,gene:ENSRNOG00000040242,EPM2A glucan phosphatase%2C laforin [Source:RGD Symbol%3BAcc:71047],Epm2a
