chr,source,type,start,stop,score,strand,phase,ID,comment,name
I,WormBase,gene,4116,10230,.,-,.,gene:WBGene00022277,Alpha N-terminal protein methyltransferase 1  [Source:UniProtKB/Swiss-Prot%3BAcc:Q9N4D9],homt-1
I,WormBase,gene,11495,16837,.,+,.,gene:WBGene00022276,Neuropeptide-like peptides nlp-40 Peptide P1 Peptide P2 Peptide P3 Peptide P4 [Source:UniProtKB/Swiss-Prot%3BAcc:Q9N4D8],nlp-40
I,WormBase,gene,17487,26781,.,-,.,gene:WBGene00022278,RCOR (REST CO-Repressor) homolog  [Source:UniProtKB/TrEMBL%3BAcc:H2KZI1],rcor-1
I,WormBase,gene,27591,32544,.,-,.,gene:WBGene00022279,Sestrin homolog  [Source:UniProtKB/Swiss-Prot%3BAcc:Q9N4D6],sesn-1
I,WormBase,gene,43733,44677,.,+,.,gene:WBGene00022275,,Y74C9A.1
I,WormBase,gene,47467,49857,.,+,.,gene:WBGene00044345,,Y48G1C.12
I,WormBase,gene,49919,54426,.,+,.,gene:WBGene00021677,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase  [Source:UniProtKB/TrEMBL%3BAcc:V6CIR3],pgs-1
I,WormBase,gene,55293,64066,.,-,.,gene:WBGene00021678,,Y48G1C.5
I,WormBase,gene,71425,81071,.,+,.,gene:WBGene00000812,Tyrosine-protein kinase csk-1  [Source:UniProtKB/Swiss-Prot%3BAcc:G5ECJ6],csk-1
I,WormBase,gene,81193,91020,.,+,.,gene:WBGene00021683,,Y48G1C.10
I,WormBase,gene,84991,86293,.,-,.,gene:WBGene00021679,,Y48G1C.6
I,WormBase,gene,91380,92877,.,+,.,gene:WBGene00021682,,Y48G1C.9
I,WormBase,gene,93024,94884,.,+,.,gene:WBGene00021676,,pid-2
I,WormBase,gene,94828,95367,.,-,.,gene:WBGene00189949,,Y48G1C.13
I,WormBase,gene,96544,108223,.,-,.,gene:WBGene00021681,,Y48G1C.8
I,WormBase,gene,108670,110107,.,-,.,gene:WBGene00004274,Ras-related protein rab-11.1  [Source:UniProtKB/Swiss-Prot%3BAcc:O01803],rab-11.1
I,WormBase,gene,111038,112417,.,+,.,gene:WBGene00004418,60S ribosomal protein L7  [Source:UniProtKB/Swiss-Prot%3BAcc:O01802],rpl-7
I,WormBase,gene,112285,113721,.,+,.,gene:WBGene00018774,,F53G12.9
I,WormBase,gene,113807,114704,.,+,.,gene:WBGene00018773,,F53G12.8
I,WormBase,gene,115739,117438,.,+,.,gene:WBGene00000622,COLlagen  [Source:UniProtKB/TrEMBL%3BAcc:O01799],col-45
I,WormBase,gene,118109,120870,.,+,.,gene:WBGene00004962,Spermatocyte protein spe-8  [Source:UniProtKB/Swiss-Prot%3BAcc:O01798],spe-8
I,WormBase,gene,127297,134065,.,+,.,gene:WBGene00003229,Muscle EXcess  [Source:UniProtKB/TrEMBL%3BAcc:V6CKQ3],mex-3
I,WormBase,gene,134337,137282,.,+,.,gene:WBGene00018772,,F53G12.4
I,WormBase,gene,137845,144565,.,+,.,gene:WBGene00018771,DUal OXidase  [Source:UniProtKB/TrEMBL%3BAcc:O01795],duox-2
I,WormBase,gene,144828,146468,.,+,.,gene:WBGene00271776,,F53G12.18
I,WormBase,gene,146486,154850,.,-,.,gene:WBGene00000253,Dual oxidase 1  [Source:UniProtKB/Swiss-Prot%3BAcc:O61213],bli-3
I,WormBase,gene,160172,166819,.,-,.,gene:WBGene00004225,PaTched Related family  [Source:UniProtKB/TrEMBL%3BAcc:O44978],ptr-11
I,WormBase,gene,171340,175989,.,+,.,gene:WBGene00018958,Carboxylic ester hydrolase  [Source:UniProtKB/TrEMBL%3BAcc:H2L069],F56C11.6
I,WormBase,gene,178538,182161,.,+,.,gene:WBGene00018957,,F56C11.5
I,WormBase,gene,182079,182772,.,-,.,gene:WBGene00018955,Sulfhydryl oxidase  [Source:UniProtKB/TrEMBL%3BAcc:O44975],F56C11.3
I,WormBase,gene,183364,208465,.,+,.,gene:WBGene00000227,Serine/threonine-protein kinase ATM  [Source:UniProtKB/Swiss-Prot%3BAcc:Q9N3Q4],atm-1
I,WormBase,gene,209281,211732,.,+,.,gene:WBGene00021666,,Y48G1BL.7
I,WormBase,gene,216028,216996,.,+,.,gene:WBGene00021662,SNAPc (Small Nuclear RNA Activating Complex) homolog  [Source:UniProtKB/TrEMBL%3BAcc:Q9N3Q1],snpc-3.3
